file_id	norm	start	end	status	llr
M0100055B	101	120.2	129.13	adhere	-0.5
M0100055B	101	129.13	143.77	adhere	-0.5
M0100055B	101	144.43	156.88	adhere	-0.5
M0100055B	101	156.88	166.75	adhere	-0.5
M0100055B	101	166.75	176.09	adhere	-0.5
M0100055B	101	176.09	190.86	adhere	-0.5
M0100055B	101	191.36	207.02	adhere	-0.5
M0100055B	101	207.12	220.35	adhere	-0.5
M0100055B	101	220.76	237.45	adhere	-0.5
M0100055B	101	237.45	248.63	adhere	-0.5
M0100055B	101	248.63	263.35	adhere	-0.5
M0100055B	101	264.08	276.49	adhere	-0.5
M0100055B	101	276.49	288.76	adhere	-0.5
M0100055B	101	288.76	302.94	adhere	-0.5
M0100055B	101	303.63	313.12	adhere	-0.5
M0100055B	101	313.12	326.59	adhere	-0.5
M0100055B	101	326.59	341.29	adhere	-0.5
M0100055B	101	341.39	356.26	adhere	-0.5
M0100055B	101	356.97	372.76	adhere	-0.5
M0100055B	101	372.91	388.9	adhere	-0.5
M0100055B	101	389.74	403.92	adhere	-0.5
M0100055B	101	403.98	418.31	adhere	-0.5
