file_id	norm	start	end	status	llr
M010007DC	101	157.645125	169.8655	adhere	-0.5
M010007DC	101	169.8655	175.356	adhere	-0.5
M010007DC	101	175.356	186.846	adhere	-0.5
M010007DC	101	186.846	194.0865	adhere	-0.5
M010007DC	101	194.0865	208.0175	adhere	-0.5
M010007DC	101	208.0175	218.3395	adhere	-0.5
M010007DC	101	218.3395	232.476375	adhere	-0.5
M010007DC	101	232.476375	242.530875	adhere	-0.5
M010007DC	101	242.530875	255.364875	adhere	-0.5
M010007DC	101	255.364875	265.1635	adhere	-0.5
M010007DC	101	265.1635	275.702375	adhere	-0.5
M010007DC	101	275.702375	286.3845	adhere	-0.5
M010007DC	101	286.3845	296.7565	adhere	-0.5
M010007DC	101	296.7565	308.20225	adhere	-0.5
M010007DC	101	308.20225	319.360625	adhere	-0.5
M010007DC	101	319.360625	331.850375	adhere	-0.5
M010007DC	101	331.850375	343.24325	adhere	-0.5
M010007DC	101	343.24325	355.0205	adhere	-0.5
M010007DC	101	355.0205	363.40825	adhere	-0.5
M010007DC	101	363.40825	377.6835	adhere	-0.5
M010007DC	101	377.6835	392.660125	adhere	-0.5
M010007DC	101	392.660125	405.151	adhere	-0.5
M010007DC	101	405.151	416.0345	adhere	-0.5
M010007DC	101	416.0345	427.609125	adhere	-0.5
M010007DC	101	427.609125	440.76025	adhere	-0.5
M010007DC	101	440.76025	454.715375	adhere	-0.5
