file_id	norm	start	end	status	llr
M010008BS	103	2.3	17.3	adhere	-0.5
M010008BS	107	2.3	17.3	adhere	-0.5
M010008BS	103	17.3	32.3	adhere	-0.5
M010008BS	107	17.3	32.3	adhere	-0.5
M010008BS	103	32.3	47.3	adhere	-0.5
M010008BS	107	32.3	47.3	adhere	-0.5
M010008BS	103	47.3	62.3	adhere	-0.5
M010008BS	107	47.3	62.3	adhere	-0.5
M010008BS	103	62.3	77.3	adhere	-0.5
M010008BS	107	62.3	77.3	adhere	-0.5
M010008BS	103	77.3	92.3	adhere	-0.5
M010008BS	107	77.3	92.3	adhere	-0.5
M010008BS	103	92.3	107.3	adhere	-0.5
M010008BS	107	92.3	107.3	adhere	-0.5
M010008BS	103	107.3	122.3	adhere	-0.5
M010008BS	107	107.3	122.3	adhere	-0.5
M010008BS	103	122.3	137.3	adhere	-0.5
M010008BS	107	122.3	137.3	adhere	-0.5
M010008BS	103	137.3	152.3	adhere	-0.5
M010008BS	107	137.3	152.3	adhere	-0.5
M010008BS	103	152.3	167.3	adhere	-0.5
M010008BS	107	152.3	167.3	adhere	-0.5
M010008BS	103	167.3	182.3	adhere	-0.5
M010008BS	107	167.3	182.3	adhere	-0.5
M010008BS	103	182.3	197.3	adhere	-0.5
M010008BS	107	182.3	197.3	adhere	-0.5
M010008BS	103	197.3	212.3	adhere	-0.5
M010008BS	107	197.3	212.3	adhere	-0.5
M010008BS	103	212.3	227.3	adhere	-0.5
M010008BS	107	212.3	227.3	adhere	-0.5
M010008BS	103	227.3	242.3	adhere	-0.5
M010008BS	107	227.3	242.3	adhere	-0.5
M010008BS	103	242.3	257.3	adhere	-0.5
M010008BS	107	242.3	257.3	adhere	-0.5
M010008BS	103	257.3	272.3	adhere	-0.5
M010008BS	107	257.3	272.3	adhere	-0.5
M010008BS	103	272.3	287.3	adhere	-0.5
M010008BS	107	272.3	287.3	adhere	-0.5
M010008BS	103	287.3	302.3	adhere	-0.5
M010008BS	107	287.3	302.3	adhere	-0.5
