file_id	norm	start	end	status	llr
M010008ZL	104	350.24	365.24	adhere	-4.944720268249512
M010008ZL	101	350.24	365.24	adhere	-0.5564966201782227
M010008ZL	101	290.24	305.24	adhere	-0.5532952547073364
M010008ZL	101	305.24	320.24	adhere	-0.5532952547073364
M010008ZL	101	320.24	335.24	adhere	-0.5590277314186096
M010008ZL	101	335.24	350.24	adhere	-0.5579960942268372
M010008ZL	101	365.24	380.24	adhere	-0.5577887892723083
M010008ZL	101	380.24	395.24	adhere	-0.5577887892723083
M010008ZL	101	395.24	410.24	adhere	-0.5580337047576904
M010008ZL	101	410.24	425.24	adhere	-0.5580337047576904
M010008ZL	101	425.24	440.24	adhere	-0.5586242079734802
M010008ZL	101	440.24	455.24	adhere	-0.5497314929962158
M010008ZL	101	455.24	470.24	adhere	-0.5577410459518433
M010008ZL	101	470.24	485.24	adhere	-0.5577410459518433
M010008ZL	101	485.24	500.24	adhere	-0.5580493807792664
M010008ZL	101	500.24	515.24	adhere	-0.5580493807792664
M010008ZL	101	515.24	530.24	adhere	-0.5545030236244202
M010008ZL	101	530.24	545.24	adhere	-0.556882381439209
M010008ZL	101	545.24	560.24	adhere	-0.5568503141403198
M010008ZL	101	560.24	575.24	adhere	-0.5568503141403198
M010008ZL	101	575.24	590.24	adhere	-0.5582749843597412
M010008ZL	102	350.24	365.24	adhere	-4.763698577880859
M010008ZL	102	290.24	305.24	adhere	-3.04201078414917
M010008ZL	102	305.24	320.24	adhere	-3.04201078414917
M010008ZL	102	320.24	335.24	adhere	-5.186604022979736
M010008ZL	102	335.24	350.24	adhere	-1.2221838235855103
M010008ZL	102	365.24	380.24	adhere	-5.059641361236572
M010008ZL	102	380.24	395.24	adhere	-5.059641361236572
M010008ZL	102	395.24	410.24	adhere	-4.800745487213135
M010008ZL	102	410.24	425.24	adhere	-4.800745487213135
M010008ZL	102	425.24	440.24	adhere	-5.201930046081543
M010008ZL	102	440.24	455.24	adhere	-2.367854118347168
M010008ZL	102	455.24	470.24	adhere	-5.144862174987793
M010008ZL	102	470.24	485.24	adhere	-5.144862174987793
M010008ZL	102	485.24	500.24	adhere	-5.05534029006958
M010008ZL	102	500.24	515.24	adhere	-5.05534029006958
M010008ZL	102	515.24	530.24	adhere	-4.307821273803711
M010008ZL	102	530.24	545.24	adhere	-4.977396011352539
M010008ZL	102	545.24	560.24	adhere	-0.5456299185752869
M010008ZL	102	560.24	575.24	adhere	-0.5456299185752869
M010008ZL	102	575.24	590.24	adhere	-5.1611433029174805
M010008ZL	103	350.24	365.24	adhere	-5.675360202789307
M010008ZL	103	290.24	305.24	adhere	-5.734593868255615
M010008ZL	103	305.24	320.24	adhere	-5.734593868255615
M010008ZL	103	320.24	335.24	adhere	-5.829274654388428
M010008ZL	103	335.24	350.24	adhere	-5.677829742431641
M010008ZL	103	365.24	380.24	adhere	-5.644132137298584
M010008ZL	103	380.24	395.24	adhere	-5.644132137298584
M010008ZL	103	395.24	410.24	adhere	-5.817784309387207
M010008ZL	103	410.24	425.24	adhere	-5.817784309387207
M010008ZL	103	425.24	440.24	adhere	-5.862708568572998
M010008ZL	103	440.24	455.24	adhere	-5.658804893493652
M010008ZL	103	455.24	470.24	adhere	-5.546952247619629
M010008ZL	103	470.24	485.24	adhere	-5.546952247619629
M010008ZL	103	485.24	500.24	adhere	-5.609292984008789
M010008ZL	103	500.24	515.24	adhere	-5.609292984008789
M010008ZL	103	515.24	530.24	adhere	-5.47615385055542
M010008ZL	103	530.24	545.24	adhere	-5.704216480255127
M010008ZL	103	545.24	560.24	adhere	-5.728023529052734
M010008ZL	103	560.24	575.24	adhere	-5.728023529052734
M010008ZL	103	575.24	590.24	adhere	-5.799691200256348
M010008ZL	104	290.24	305.24	adhere	-4.101970195770264
M010008ZL	104	305.24	320.24	adhere	-4.101970195770264
M010008ZL	104	320.24	335.24	adhere	-5.158143997192383
M010008ZL	104	335.24	350.24	adhere	-5.470793724060059
M010008ZL	104	365.24	380.24	adhere	-5.168078422546387
M010008ZL	104	380.24	395.24	adhere	-5.168078422546387
M010008ZL	104	395.24	410.24	adhere	-5.17759895324707
M010008ZL	104	410.24	425.24	adhere	-5.17759895324707
M010008ZL	104	425.24	440.24	adhere	-5.403698444366455
M010008ZL	104	440.24	455.24	adhere	-2.4544076919555664
M010008ZL	104	455.24	470.24	adhere	-5.107216835021973
M010008ZL	104	470.24	485.24	adhere	-5.107216835021973
M010008ZL	104	485.24	500.24	adhere	-4.721870422363281
M010008ZL	104	500.24	515.24	adhere	-4.721870422363281
M010008ZL	104	515.24	530.24	adhere	-3.9071903228759766
M010008ZL	104	530.24	545.24	adhere	-5.095240592956543
M010008ZL	104	545.24	560.24	adhere	-4.524603843688965
M010008ZL	104	560.24	575.24	adhere	-4.524603843688965
M010008ZL	104	575.24	590.24	adhere	-5.238131999969482
M010008ZL	105	350.24	365.24	adhere	-4.241216659545898
M010008ZL	105	290.24	305.24	adhere	-0.3600710928440094
M010008ZL	105	305.24	320.24	adhere	-0.3600710928440094
M010008ZL	105	320.24	335.24	adhere	-5.268549919128418
M010008ZL	105	335.24	350.24	adhere	-5.239560127258301
M010008ZL	105	365.24	380.24	adhere	-5.155183792114258
M010008ZL	105	380.24	395.24	adhere	-5.155183792114258
M010008ZL	105	395.24	410.24	adhere	-4.737695693969727
M010008ZL	105	410.24	425.24	adhere	-4.737695693969727
M010008ZL	105	425.24	440.24	adhere	-5.189105987548828
M010008ZL	105	440.24	455.24	adhere	-1.7221068143844604
M010008ZL	105	455.24	470.24	adhere	-5.057443618774414
M010008ZL	105	470.24	485.24	adhere	-5.057443618774414
M010008ZL	105	485.24	500.24	adhere	-3.849660873413086
M010008ZL	105	500.24	515.24	adhere	-3.849660873413086
M010008ZL	105	515.24	530.24	adhere	-3.21284556388855
M010008ZL	105	530.24	545.24	adhere	-4.838226318359375
M010008ZL	105	545.24	560.24	adhere	-1.137686014175415
M010008ZL	105	560.24	575.24	adhere	-1.137686014175415
M010008ZL	105	575.24	590.24	adhere	-4.976555347442627
M010008ZL	106	350.24	365.24	adhere	-5.741238594055176
M010008ZL	106	290.24	305.24	adhere	-5.57362174987793
M010008ZL	106	305.24	320.24	adhere	-5.57362174987793
M010008ZL	106	320.24	335.24	adhere	-5.720582008361816
M010008ZL	106	335.24	350.24	adhere	-5.7383317947387695
M010008ZL	106	365.24	380.24	adhere	-5.624140739440918
M010008ZL	106	380.24	395.24	adhere	-5.624140739440918
M010008ZL	106	395.24	410.24	adhere	-5.785128593444824
M010008ZL	106	410.24	425.24	adhere	-5.785128593444824
M010008ZL	106	425.24	440.24	adhere	-5.8694915771484375
M010008ZL	106	440.24	455.24	adhere	-4.465503215789795
M010008ZL	106	455.24	470.24	adhere	-5.705035209655762
M010008ZL	106	470.24	485.24	adhere	-5.705035209655762
M010008ZL	106	485.24	500.24	adhere	-5.6798272132873535
M010008ZL	106	500.24	515.24	adhere	-5.6798272132873535
M010008ZL	106	515.24	530.24	adhere	-5.304109573364258
M010008ZL	106	530.24	545.24	adhere	-5.786650657653809
M010008ZL	106	545.24	560.24	adhere	-5.705777645111084
M010008ZL	106	560.24	575.24	adhere	-5.705777645111084
M010008ZL	106	575.24	590.24	adhere	-5.874320983886719
M010008ZL	107	350.24	365.24	adhere	-5.595309257507324
M010008ZL	107	290.24	305.24	adhere	-5.507473945617676
M010008ZL	107	305.24	320.24	adhere	-5.507473945617676
M010008ZL	107	320.24	335.24	adhere	-5.788985252380371
M010008ZL	107	335.24	350.24	adhere	-5.716226577758789
M010008ZL	107	365.24	380.24	adhere	-5.638702392578125
M010008ZL	107	380.24	395.24	adhere	-5.638702392578125
M010008ZL	107	395.24	410.24	adhere	-5.7088141441345215
M010008ZL	107	410.24	425.24	adhere	-5.7088141441345215
M010008ZL	107	425.24	440.24	adhere	-5.791478157043457
M010008ZL	107	440.24	455.24	adhere	-5.476815223693848
M010008ZL	107	455.24	470.24	adhere	-5.539626121520996
M010008ZL	107	470.24	485.24	adhere	-5.539626121520996
M010008ZL	107	485.24	500.24	adhere	-5.553433418273926
M010008ZL	107	500.24	515.24	adhere	-5.553433418273926
M010008ZL	107	515.24	530.24	adhere	-5.433713912963867
M010008ZL	107	530.24	545.24	adhere	-5.61873722076416
M010008ZL	107	545.24	560.24	adhere	-5.6870832443237305
M010008ZL	107	560.24	575.24	adhere	-5.6870832443237305
M010008ZL	107	575.24	590.24	adhere	-5.709406852722168
