file_id	norm	start	end	status	llr
M01000FWO	101	0.0	10.57	adhere	-0.5
M01000FWO	101	10.57	20.9279475983	adhere	-0.5
M01000FWO	101	20.9279475983	31.87	adhere	-0.5
M01000FWO	101	31.87	44.84	adhere	-0.5
M01000FWO	101	44.84	58.75	adhere	-0.5
M01000FWO	101	59.17	70.7	adhere	-0.5
M01000FWO	101	71.77	83.46	adhere	-0.5
M01000FWO	101	83.75	100.017467249	adhere	-0.5
M01000FWO	101	100.75	114.78	adhere	-0.5
M01000FWO	101	114.78	128.59	adhere	-0.5
M01000FWO	101	128.85	141.45	adhere	-0.5
M01000FWO	101	141.45	154.88	adhere	-0.5
M01000FWO	101	154.88	167.94	adhere	-0.5
M01000FWO	101	168.0	181.96	adhere	-0.5
M01000FWO	101	182.11	194.14	adhere	-0.5
M01000FWO	101	194.39	207.24	adhere	-0.5
M01000FWO	101	207.24	221.42	adhere	-0.5
M01000FWO	101	221.42	242.72	adhere	-0.5
M01000FWO	101	242.72	260.7	adhere	-0.5
M01000FWO	101	260.7	276.11	adhere	-0.5
M01000FWO	101	276.21	290.53	adhere	-0.5
M01000FWO	101	290.59	299.36	adhere	-0.5
