file_id	norm	start	end	status	llr
M01003OPV	102	40.5	55.5	adhere	-2.1620278358459473
M01003OPV	104	100.5	115.5	adhere	3.8156795501708984
M01003OPV	106	115.5	130.5	adhere	-5.908092498779297
M01003OPV	105	130.5	145.5	adhere	-0.523195207118988
M01003OPV	105	190.5	205.5	adhere	3.815316677093506
M01003OPV	105	205.5	220.5	adhere	2.749091148376465
M01003OPV	105	220.5	235.5	adhere	3.494835615158081
M01003OPV	105	235.5	250.5	adhere	-1.3650550842285156
M01003OPV	105	265.5	280.5	adhere	4.098296165466309
M01003OPV	104	280.5	295.5	adhere	5.959558010101318
M01003OPV	105	295.5	310.5	adhere	4.08522891998291
M01003OPV	101	40.5	55.5	adhere	-0.5603880286216736
M01003OPV	101	100.5	115.5	adhere	-0.5571032762527466
M01003OPV	101	115.5	130.5	adhere	-0.5601070523262024
M01003OPV	101	130.5	145.5	adhere	-0.5597428679466248
M01003OPV	101	190.5	205.5	adhere	-0.5610634684562683
M01003OPV	101	205.5	220.5	adhere	-0.5600935816764832
M01003OPV	101	220.5	235.5	adhere	-0.5584099888801575
M01003OPV	101	235.5	250.5	adhere	-0.559680700302124
M01003OPV	101	265.5	280.5	adhere	-0.5608028173446655
M01003OPV	101	280.5	295.5	adhere	-0.559173047542572
M01003OPV	101	295.5	310.5	adhere	-0.5578849911689758
M01003OPV	101	25.5	40.5	adhere	-0.5599783658981323
M01003OPV	101	55.5	70.5	adhere	-0.5604522228240967
M01003OPV	101	70.5	85.5	adhere	-0.557119607925415
M01003OPV	101	85.5	100.5	adhere	-0.5603358149528503
M01003OPV	101	145.5	160.5	adhere	-0.5608950853347778
M01003OPV	101	160.5	175.5	adhere	-0.5606568455696106
M01003OPV	101	175.5	190.5	adhere	-0.5609945058822632
M01003OPV	101	250.5	265.5	adhere	-0.5606304407119751
M01003OPV	101	310.5	325.5	adhere	-0.5611518025398254
M01003OPV	102	100.5	115.5	adhere	2.7316765785217285
M01003OPV	102	115.5	130.5	adhere	-5.076808929443359
M01003OPV	102	130.5	145.5	adhere	-0.6414347887039185
M01003OPV	102	190.5	205.5	adhere	-5.124981880187988
M01003OPV	102	205.5	220.5	adhere	-4.437487602233887
M01003OPV	102	220.5	235.5	adhere	-2.913788318634033
M01003OPV	102	235.5	250.5	adhere	-2.0184741020202637
M01003OPV	102	265.5	280.5	adhere	-5.048336505889893
M01003OPV	102	280.5	295.5	adhere	2.9455461502075195
M01003OPV	102	295.5	310.5	adhere	-0.04688438028097153
M01003OPV	102	25.5	40.5	adhere	-4.861045837402344
M01003OPV	102	55.5	70.5	adhere	-5.32563591003418
M01003OPV	102	70.5	85.5	adhere	-2.925623893737793
M01003OPV	102	85.5	100.5	adhere	-3.6018660068511963
M01003OPV	102	145.5	160.5	adhere	-5.8787407875061035
M01003OPV	102	160.5	175.5	adhere	1.6625875234603882
M01003OPV	102	175.5	190.5	adhere	-5.653553009033203
M01003OPV	102	250.5	265.5	adhere	-4.346351623535156
M01003OPV	102	310.5	325.5	adhere	-5.598587989807129
M01003OPV	103	40.5	55.5	adhere	-6.10445499420166
M01003OPV	103	100.5	115.5	adhere	-5.8584442138671875
M01003OPV	103	115.5	130.5	adhere	-5.9792399406433105
M01003OPV	103	130.5	145.5	adhere	-6.052153587341309
M01003OPV	103	190.5	205.5	adhere	-6.081762313842773
M01003OPV	103	205.5	220.5	adhere	-6.012782096862793
M01003OPV	103	220.5	235.5	adhere	-5.958567142486572
M01003OPV	103	235.5	250.5	adhere	-5.986127853393555
M01003OPV	103	265.5	280.5	adhere	-5.987702369689941
M01003OPV	103	280.5	295.5	adhere	-5.939809799194336
M01003OPV	103	295.5	310.5	adhere	-5.375642776489258
M01003OPV	103	25.5	40.5	adhere	-6.0024824142456055
M01003OPV	103	55.5	70.5	adhere	-6.015678405761719
M01003OPV	103	70.5	85.5	adhere	-5.420902252197266
M01003OPV	103	85.5	100.5	adhere	-6.020832538604736
M01003OPV	103	145.5	160.5	adhere	-6.000457763671875
M01003OPV	103	160.5	175.5	adhere	-6.0573554039001465
M01003OPV	103	175.5	190.5	adhere	-6.091823577880859
M01003OPV	103	250.5	265.5	adhere	-6.063963413238525
M01003OPV	103	310.5	325.5	adhere	-6.09713077545166
M01003OPV	104	40.5	55.5	adhere	-4.855106353759766
M01003OPV	104	115.5	130.5	adhere	-5.071919918060303
M01003OPV	104	130.5	145.5	adhere	-3.2464802265167236
M01003OPV	104	190.5	205.5	adhere	-5.340081214904785
M01003OPV	104	205.5	220.5	adhere	-3.297649383544922
M01003OPV	104	220.5	235.5	adhere	1.3365081548690796
M01003OPV	104	235.5	250.5	adhere	-3.4075169563293457
M01003OPV	104	265.5	280.5	adhere	-4.954533576965332
M01003OPV	104	295.5	310.5	adhere	4.216228485107422
M01003OPV	104	25.5	40.5	adhere	-4.005837440490723
M01003OPV	104	55.5	70.5	adhere	-5.3542399406433105
M01003OPV	104	70.5	85.5	adhere	-3.3711185455322266
M01003OPV	104	85.5	100.5	adhere	-2.2355833053588867
M01003OPV	104	145.5	160.5	adhere	-5.928628444671631
M01003OPV	104	160.5	175.5	adhere	-1.7414343357086182
M01003OPV	104	175.5	190.5	adhere	-5.548653602600098
M01003OPV	104	250.5	265.5	adhere	-3.6667680740356445
M01003OPV	104	310.5	325.5	adhere	-5.796710014343262
M01003OPV	105	40.5	55.5	adhere	-5.850716590881348
M01003OPV	105	100.5	115.5	adhere	4.958339214324951
M01003OPV	105	115.5	130.5	adhere	-5.775155544281006
M01003OPV	105	280.5	295.5	adhere	5.921086311340332
M01003OPV	105	25.5	40.5	adhere	-4.580685138702393
M01003OPV	105	55.5	70.5	adhere	-5.2924089431762695
M01003OPV	105	70.5	85.5	adhere	-1.605149507522583
M01003OPV	105	85.5	100.5	adhere	1.8444030284881592
M01003OPV	105	145.5	160.5	adhere	-6.080533504486084
M01003OPV	105	160.5	175.5	adhere	-3.7197556495666504
