file_id	norm	start	end	status	llr
M01003VWX	103	249.9	264.9	adhere	-0.5
M01003VWX	107	249.9	264.9	adhere	-0.5
M01003VWX	103	264.9	279.9	adhere	-0.5
M01003VWX	107	264.9	279.9	adhere	-0.5
M01003VWX	103	279.9	294.9	adhere	-0.5
M01003VWX	107	279.9	294.9	adhere	-0.5
M01003VWX	103	294.9	309.9	adhere	-0.5
M01003VWX	107	294.9	309.9	adhere	-0.5
M01003VWX	103	309.9	324.9	adhere	-0.5
M01003VWX	107	309.9	324.9	adhere	-0.5
M01003VWX	103	324.9	339.9	adhere	-0.5
M01003VWX	107	324.9	339.9	adhere	-0.5
M01003VWX	103	339.9	354.9	adhere	-0.5
M01003VWX	107	339.9	354.9	adhere	-0.5
M01003VWX	103	354.9	369.9	adhere	-0.5
M01003VWX	107	354.9	369.9	adhere	-0.5
M01003VWX	103	369.9	384.9	adhere	-0.5
M01003VWX	107	369.9	384.9	adhere	-0.5
M01003VWX	103	384.9	399.9	adhere	-0.5
M01003VWX	107	384.9	399.9	adhere	-0.5
M01003VWX	103	399.9	414.9	adhere	-0.5
M01003VWX	107	399.9	414.9	adhere	-0.5
M01003VWX	103	414.9	429.9	adhere	-0.5
M01003VWX	107	414.9	429.9	adhere	-0.5
M01003VWX	103	429.9	444.9	adhere	-0.5
M01003VWX	107	429.9	444.9	adhere	-0.5
M01003VWX	103	444.9	459.9	adhere	-0.5
M01003VWX	107	444.9	459.9	adhere	-0.5
M01003VWX	103	459.9	474.9	adhere	-0.5
M01003VWX	107	459.9	474.9	adhere	-0.5
M01003VWX	103	474.9	489.9	adhere	-0.5
M01003VWX	107	474.9	489.9	adhere	-0.5
M01003VWX	103	489.9	504.9	adhere	-0.5
M01003VWX	107	489.9	504.9	adhere	-0.5
M01003VWX	103	504.9	519.9	adhere	-0.5
M01003VWX	107	504.9	519.9	adhere	-0.5
M01003VWX	103	519.9	534.9	adhere	-0.5
M01003VWX	107	519.9	534.9	adhere	-0.5
M01003VWX	103	534.9	549.9	adhere	-0.5
M01003VWX	107	534.9	549.9	adhere	-0.5
