file_id	norm	start	end	status	llr
M010040LF	104	43.5	58.5	adhere	-5.229894638061523
M010040LF	102	58.5	73.5	adhere	-4.085479736328125
M010040LF	102	73.5	88.5	adhere	-5.614500045776367
M010040LF	104	88.5	103.5	adhere	-4.48020076751709
M010040LF	104	178.5	193.5	adhere	3.23339581489563
M010040LF	102	253.5	268.5	adhere	-4.635006427764893
M010040LF	105	268.5	283.5	adhere	-5.071883678436279
M010040LF	101	43.5	58.5	adhere	-0.5586776733398438
M010040LF	101	58.5	73.5	adhere	-0.5604459047317505
M010040LF	101	73.5	88.5	adhere	-0.5584142804145813
M010040LF	101	88.5	103.5	adhere	-0.561390221118927
M010040LF	101	133.5	148.5	adhere	-0.5540837049484253
M010040LF	101	178.5	193.5	adhere	-0.5602833032608032
M010040LF	101	253.5	268.5	adhere	-0.5577353239059448
M010040LF	101	268.5	283.5	adhere	-0.5585547089576721
M010040LF	101	28.5	43.5	adhere	-0.5609650611877441
M010040LF	101	103.5	118.5	adhere	-0.5610226392745972
M010040LF	101	118.5	133.5	adhere	-0.5598214268684387
M010040LF	101	148.5	163.5	adhere	-0.558426022529602
M010040LF	101	163.5	178.5	adhere	-0.5595344305038452
M010040LF	101	193.5	208.5	adhere	-0.5578975677490234
M010040LF	101	208.5	223.5	adhere	-0.5600193738937378
M010040LF	101	223.5	238.5	adhere	-0.5579211711883545
M010040LF	101	238.5	253.5	adhere	-0.5603702664375305
M010040LF	101	283.5	298.5	adhere	-0.5586237907409668
M010040LF	101	298.5	313.5	adhere	-0.5596922039985657
M010040LF	101	313.5	328.5	adhere	-0.5578294396400452
M010040LF	102	43.5	58.5	adhere	-3.788170337677002
M010040LF	102	88.5	103.5	adhere	-6.021269798278809
M010040LF	102	133.5	148.5	adhere	-5.130094051361084
M010040LF	102	178.5	193.5	adhere	-5.287619113922119
M010040LF	102	268.5	283.5	adhere	-4.544624328613281
M010040LF	102	28.5	43.5	adhere	-4.995923042297363
M010040LF	102	103.5	118.5	adhere	-4.7154974937438965
M010040LF	102	118.5	133.5	adhere	-1.5494680404663086
M010040LF	102	148.5	163.5	adhere	-4.739367485046387
M010040LF	102	163.5	178.5	adhere	-4.739995956420898
M010040LF	102	193.5	208.5	adhere	-5.436285495758057
M010040LF	102	208.5	223.5	adhere	-2.944024085998535
M010040LF	102	223.5	238.5	adhere	-1.213653564453125
M010040LF	102	238.5	253.5	adhere	-4.614542007446289
M010040LF	102	283.5	298.5	adhere	-4.658875465393066
M010040LF	102	298.5	313.5	adhere	-4.346487045288086
M010040LF	102	313.5	328.5	adhere	-4.725889682769775
M010040LF	103	43.5	58.5	adhere	-5.982900619506836
M010040LF	103	58.5	73.5	adhere	-6.033400535583496
M010040LF	103	73.5	88.5	adhere	-5.731173515319824
M010040LF	103	88.5	103.5	adhere	-6.01283073425293
M010040LF	103	133.5	148.5	adhere	-5.162295341491699
M010040LF	103	178.5	193.5	adhere	-5.961582183837891
M010040LF	103	253.5	268.5	adhere	-5.657989501953125
M010040LF	103	268.5	283.5	adhere	-5.951426982879639
M010040LF	103	28.5	43.5	adhere	-6.080585956573486
M010040LF	103	103.5	118.5	adhere	-6.092170238494873
M010040LF	103	118.5	133.5	adhere	-6.072946548461914
M010040LF	103	148.5	163.5	adhere	-5.321015357971191
M010040LF	103	163.5	178.5	adhere	-5.833714485168457
M010040LF	103	193.5	208.5	adhere	-5.4378862380981445
M010040LF	103	208.5	223.5	adhere	-6.033278942108154
M010040LF	103	223.5	238.5	adhere	-5.877250671386719
M010040LF	103	238.5	253.5	adhere	-6.036460876464844
M010040LF	103	283.5	298.5	adhere	-5.98301887512207
M010040LF	103	298.5	313.5	adhere	-6.030158996582031
M010040LF	103	313.5	328.5	adhere	-5.5476226806640625
M010040LF	104	58.5	73.5	adhere	-5.152109146118164
M010040LF	104	73.5	88.5	adhere	-0.15339070558547974
M010040LF	104	133.5	148.5	adhere	-0.5836746692657471
M010040LF	104	253.5	268.5	adhere	-0.9799482226371765
M010040LF	104	268.5	283.5	adhere	-3.4415531158447266
M010040LF	104	28.5	43.5	adhere	-4.367220878601074
M010040LF	104	103.5	118.5	adhere	-5.144648551940918
M010040LF	104	118.5	133.5	adhere	-4.778102874755859
M010040LF	104	148.5	163.5	adhere	-4.860736846923828
M010040LF	104	163.5	178.5	adhere	-5.211883544921875
M010040LF	104	193.5	208.5	adhere	4.278902530670166
M010040LF	104	208.5	223.5	adhere	-4.1490631103515625
M010040LF	104	223.5	238.5	adhere	-2.322782516479492
M010040LF	104	238.5	253.5	adhere	-4.594834804534912
M010040LF	104	283.5	298.5	adhere	5.033316612243652
M010040LF	104	298.5	313.5	adhere	-4.565123081207275
M010040LF	104	313.5	328.5	adhere	-4.418963432312012
M010040LF	105	43.5	58.5	adhere	-5.612776756286621
M010040LF	105	58.5	73.5	adhere	-5.452223777770996
M010040LF	105	73.5	88.5	adhere	-5.738227844238281
M010040LF	105	88.5	103.5	adhere	-6.201593399047852
M010040LF	105	133.5	148.5	adhere	-5.355980396270752
M010040LF	105	178.5	193.5	adhere	-5.726795196533203
M010040LF	105	253.5	268.5	adhere	-5.640346527099609
M010040LF	105	28.5	43.5	adhere	-5.865280628204346
M010040LF	105	103.5	118.5	adhere	-5.085348129272461
M010040LF	105	118.5	133.5	adhere	-5.59101676940918
M010040LF	105	148.5	163.5	adhere	-5.227533340454102
M010040LF	105	163.5	178.5	adhere	-5.48448371887207
M010040LF	105	193.5	208.5	adhere	-4.988675594329834
M010040LF	105	208.5	223.5	adhere	-5.125330924987793
M010040LF	105	223.5	238.5	adhere	-4.087906360626221
M010040LF	105	238.5	253.5	adhere	-1.9409279823303223
M010040LF	105	283.5	298.5	adhere	-3.412353515625
M010040LF	105	298.5	313.5	adhere	-4.300807952880859
M010040LF	105	313.5	328.5	adhere	-6.178206443786621
M010040LF	106	43.5	58.5	adhere	-5.927349090576172
M010040LF	106	58.5	73.5	adhere	-6.084514617919922
M010040LF	106	73.5	88.5	adhere	-5.968597412109375
M010040LF	106	88.5	103.5	adhere	-6.039811134338379
M010040LF	106	133.5	148.5	adhere	-4.769285202026367
M010040LF	106	178.5	193.5	adhere	-5.771770000457764
M010040LF	106	253.5	268.5	adhere	-4.504825115203857
M010040LF	106	268.5	283.5	adhere	-5.790408134460449
M010040LF	106	28.5	43.5	adhere	-6.164416313171387
M010040LF	106	103.5	118.5	adhere	-6.135079860687256
M010040LF	106	118.5	133.5	adhere	-6.004197120666504
M010040LF	106	148.5	163.5	adhere	-5.272498607635498
M010040LF	106	163.5	178.5	adhere	-5.857542991638184
M010040LF	106	193.5	208.5	adhere	-4.97479248046875
M010040LF	106	208.5	223.5	adhere	-6.104425430297852
M010040LF	106	223.5	238.5	adhere	-5.513645172119141
M010040LF	106	238.5	253.5	adhere	-6.057950973510742
M010040LF	106	283.5	298.5	adhere	-6.020776748657227
M010040LF	106	298.5	313.5	adhere	-5.8869733810424805
M010040LF	106	313.5	328.5	adhere	-5.258195877075195
M010040LF	107	43.5	58.5	adhere	-5.939185619354248
M010040LF	107	58.5	73.5	adhere	-5.987760066986084
M010040LF	107	73.5	88.5	adhere	-5.7869062423706055
M010040LF	107	88.5	103.5	adhere	-6.081386566162109
M010040LF	107	133.5	148.5	adhere	-5.146040916442871
M010040LF	107	178.5	193.5	adhere	-5.942976951599121
M010040LF	107	253.5	268.5	adhere	-5.659383773803711
M010040LF	107	268.5	283.5	adhere	-5.954912185668945
M010040LF	107	28.5	43.5	adhere	-6.030313491821289
M010040LF	107	103.5	118.5	adhere	-6.0583176612854
M010040LF	107	118.5	133.5	adhere	-6.032034397125244
M010040LF	107	148.5	163.5	adhere	-5.730104923248291
M010040LF	107	163.5	178.5	adhere	-5.864018440246582
M010040LF	107	193.5	208.5	adhere	-5.664181709289551
M010040LF	107	208.5	223.5	adhere	-6.009283065795898
M010040LF	107	223.5	238.5	adhere	-5.878368377685547
M010040LF	107	238.5	253.5	adhere	-5.99711275100708
M010040LF	107	283.5	298.5	adhere	-6.000555992126465
M010040LF	107	298.5	313.5	adhere	-5.985684394836426
M010040LF	107	313.5	328.5	adhere	-6.034228324890137
