file_id	norm	start	end	status	llr
M0100467D	101	215.7	230.7	adhere	-0.5592227578163147
M0100467D	101	230.7	245.7	adhere	-0.5582353472709656
M0100467D	101	245.7	260.7	adhere	-0.5593940019607544
M0100467D	101	260.7	275.7	adhere	-0.5542596578598022
M0100467D	101	275.7	290.7	adhere	-0.5578784942626953
M0100467D	101	290.7	305.7	adhere	-0.5604095458984375
M0100467D	101	305.7	320.7	adhere	-0.5467820167541504
M0100467D	101	320.7	335.7	adhere	-0.5576121211051941
M0100467D	101	335.7	350.7	adhere	-0.5571572780609131
M0100467D	101	350.7	365.7	adhere	-0.5571380257606506
M0100467D	101	365.7	380.7	adhere	-0.5526452660560608
M0100467D	101	380.7	395.7	adhere	-0.5591975450515747
M0100467D	101	395.7	410.7	adhere	-0.5573257803916931
M0100467D	101	410.7	425.7	adhere	-0.5585505962371826
M0100467D	101	425.7	440.7	adhere	-0.5582457184791565
M0100467D	101	440.7	455.7	adhere	-0.5600676536560059
M0100467D	101	455.7	470.7	adhere	-0.5590996742248535
M0100467D	101	470.7	485.7	adhere	-0.5594443678855896
M0100467D	101	485.7	500.7	adhere	-0.5600154995918274
M0100467D	101	500.7	515.7	adhere	-0.559310793876648
M0100467D	102	215.7	230.7	adhere	3.6985549926757812
M0100467D	102	230.7	245.7	adhere	-4.500284194946289
M0100467D	102	245.7	260.7	adhere	-3.5545992851257324
M0100467D	102	260.7	275.7	adhere	-3.427596092224121
M0100467D	102	275.7	290.7	adhere	-2.6246566772460938
M0100467D	102	290.7	305.7	adhere	-5.40238094329834
M0100467D	102	305.7	320.7	adhere	-0.9475110769271851
M0100467D	102	320.7	335.7	adhere	-5.06976318359375
M0100467D	102	335.7	350.7	adhere	-4.9688920974731445
M0100467D	102	350.7	365.7	adhere	-2.5503294467926025
M0100467D	102	365.7	380.7	adhere	-3.4213125705718994
M0100467D	102	380.7	395.7	adhere	-4.339622974395752
M0100467D	102	395.7	410.7	adhere	-3.9331068992614746
M0100467D	102	410.7	425.7	adhere	-5.27082633972168
M0100467D	102	425.7	440.7	adhere	-4.392490863800049
M0100467D	102	440.7	455.7	adhere	-5.912533283233643
M0100467D	102	455.7	470.7	adhere	-3.9510674476623535
M0100467D	102	470.7	485.7	adhere	-5.158420085906982
M0100467D	102	485.7	500.7	adhere	-5.073859214782715
M0100467D	102	500.7	515.7	adhere	-4.23265266418457
M0100467D	103	215.7	230.7	adhere	-5.890659809112549
M0100467D	103	230.7	245.7	adhere	-5.6859025955200195
M0100467D	103	245.7	260.7	adhere	-5.880207061767578
M0100467D	103	260.7	275.7	adhere	-5.073389053344727
M0100467D	103	275.7	290.7	adhere	-5.922610282897949
M0100467D	103	290.7	305.7	adhere	-6.022209167480469
M0100467D	103	305.7	320.7	adhere	-4.366373062133789
M0100467D	103	320.7	335.7	adhere	-5.763731956481934
M0100467D	103	335.7	350.7	adhere	-5.742759704589844
M0100467D	103	350.7	365.7	adhere	-5.638272762298584
M0100467D	103	365.7	380.7	adhere	-4.875274658203125
M0100467D	103	380.7	395.7	adhere	-5.915284156799316
M0100467D	103	395.7	410.7	adhere	-5.827175617218018
M0100467D	103	410.7	425.7	adhere	-5.820411682128906
M0100467D	103	425.7	440.7	adhere	-5.929075241088867
M0100467D	103	440.7	455.7	adhere	-5.982646942138672
M0100467D	103	455.7	470.7	adhere	-5.895242691040039
M0100467D	103	470.7	485.7	adhere	-5.9038591384887695
M0100467D	103	485.7	500.7	adhere	-5.990116119384766
M0100467D	103	500.7	515.7	adhere	-5.888781547546387
M0100467D	104	215.7	230.7	adhere	-3.1247782707214355
M0100467D	104	230.7	245.7	adhere	-5.224539279937744
M0100467D	104	245.7	260.7	adhere	-5.3828606605529785
M0100467D	104	260.7	275.7	adhere	3.253593683242798
M0100467D	104	275.7	290.7	adhere	-4.871940612792969
M0100467D	104	290.7	305.7	adhere	-5.965482234954834
M0100467D	104	305.7	320.7	adhere	5.573121070861816
M0100467D	104	320.7	335.7	adhere	-5.130537033081055
M0100467D	104	335.7	350.7	adhere	-5.146854400634766
M0100467D	104	350.7	365.7	adhere	-4.132421493530273
M0100467D	104	365.7	380.7	adhere	-2.6511683464050293
M0100467D	104	380.7	395.7	adhere	-5.010608673095703
M0100467D	104	395.7	410.7	adhere	-4.574953079223633
M0100467D	104	410.7	425.7	adhere	-4.945626258850098
M0100467D	104	425.7	440.7	adhere	-4.549945831298828
M0100467D	104	440.7	455.7	adhere	-5.757724761962891
M0100467D	104	455.7	470.7	adhere	-5.208283424377441
M0100467D	104	470.7	485.7	adhere	-5.375056266784668
M0100467D	104	485.7	500.7	adhere	-5.078655242919922
M0100467D	104	500.7	515.7	adhere	-4.437652587890625
M0100467D	105	215.7	230.7	adhere	5.6052045822143555
M0100467D	105	230.7	245.7	adhere	-5.430085182189941
M0100467D	105	245.7	260.7	adhere	-4.396738052368164
M0100467D	105	260.7	275.7	adhere	-0.8211631774902344
M0100467D	105	275.7	290.7	adhere	-4.438477516174316
M0100467D	105	290.7	305.7	adhere	-6.125515937805176
M0100467D	105	305.7	320.7	adhere	-3.4775633811950684
M0100467D	105	320.7	335.7	adhere	-5.191783905029297
M0100467D	105	335.7	350.7	adhere	-4.271119117736816
M0100467D	105	350.7	365.7	adhere	-4.2549920082092285
M0100467D	105	365.7	380.7	adhere	-3.3414764404296875
M0100467D	105	380.7	395.7	adhere	-5.554186820983887
M0100467D	105	395.7	410.7	adhere	-4.618923187255859
M0100467D	105	410.7	425.7	adhere	-5.7099456787109375
M0100467D	105	425.7	440.7	adhere	-3.761979103088379
M0100467D	105	440.7	455.7	adhere	-6.029558181762695
M0100467D	105	455.7	470.7	adhere	-4.971556663513184
M0100467D	105	470.7	485.7	adhere	-5.649982452392578
M0100467D	105	485.7	500.7	adhere	-5.666283130645752
M0100467D	105	500.7	515.7	adhere	-5.6938090324401855
M0100467D	106	215.7	230.7	adhere	-5.852932929992676
M0100467D	106	230.7	245.7	adhere	-5.73944091796875
M0100467D	106	245.7	260.7	adhere	-6.013063430786133
M0100467D	106	260.7	275.7	adhere	-5.372384071350098
M0100467D	106	275.7	290.7	adhere	-5.765813827514648
M0100467D	106	290.7	305.7	adhere	-6.074535369873047
M0100467D	106	305.7	320.7	adhere	-1.8675329685211182
M0100467D	106	320.7	335.7	adhere	-5.7740654945373535
M0100467D	106	335.7	350.7	adhere	-5.721552848815918
M0100467D	106	350.7	365.7	adhere	-5.405863285064697
M0100467D	106	365.7	380.7	adhere	-3.998746871948242
M0100467D	106	380.7	395.7	adhere	-5.931128978729248
M0100467D	106	395.7	410.7	adhere	-5.917844772338867
M0100467D	106	410.7	425.7	adhere	-5.78536319732666
M0100467D	106	425.7	440.7	adhere	-5.844599723815918
M0100467D	106	440.7	455.7	adhere	-6.038968086242676
M0100467D	106	455.7	470.7	adhere	-5.900852680206299
M0100467D	106	470.7	485.7	adhere	-5.8518476486206055
M0100467D	106	485.7	500.7	adhere	-5.931089401245117
M0100467D	106	500.7	515.7	adhere	-5.9199981689453125
M0100467D	107	215.7	230.7	adhere	-5.837349891662598
M0100467D	107	230.7	245.7	adhere	-5.73958158493042
M0100467D	107	245.7	260.7	adhere	-5.840867519378662
M0100467D	107	260.7	275.7	adhere	-5.334783554077148
M0100467D	107	275.7	290.7	adhere	-5.810635089874268
M0100467D	107	290.7	305.7	adhere	-5.9599528312683105
M0100467D	107	305.7	320.7	adhere	-4.224766254425049
M0100467D	107	320.7	335.7	adhere	-5.657411575317383
M0100467D	107	335.7	350.7	adhere	-5.601971626281738
M0100467D	107	350.7	365.7	adhere	-5.557547569274902
M0100467D	107	365.7	380.7	adhere	-4.957610130310059
M0100467D	107	380.7	395.7	adhere	-5.827143669128418
M0100467D	107	395.7	410.7	adhere	-5.701011657714844
M0100467D	107	410.7	425.7	adhere	-5.755321025848389
M0100467D	107	425.7	440.7	adhere	-5.7962236404418945
M0100467D	107	440.7	455.7	adhere	-5.873068332672119
M0100467D	107	455.7	470.7	adhere	-5.789240837097168
M0100467D	107	470.7	485.7	adhere	-5.769001007080078
M0100467D	107	485.7	500.7	adhere	-5.932965278625488
M0100467D	107	500.7	515.7	adhere	-5.824226379394531
