file_id	norm	start	end	status	llr
M010049SG	101	38.5	53.5	adhere	-0.5574727058410645
M010049SG	101	53.5	68.5	adhere	-0.5574727058410645
M010049SG	101	68.5	83.5	adhere	-0.5364997386932373
M010049SG	101	83.5	98.5	adhere	-0.5364997386932373
M010049SG	101	98.5	113.5	adhere	-0.5548497438430786
M010049SG	101	113.5	128.5	adhere	-0.5548497438430786
M010049SG	101	128.5	143.5	adhere	-0.5377448201179504
M010049SG	101	143.5	158.5	adhere	-0.5561508536338806
M010049SG	101	158.5	173.5	adhere	-0.5561508536338806
M010049SG	101	173.5	188.5	adhere	-0.5557395815849304
M010049SG	101	188.5	203.5	adhere	-0.5557395815849304
M010049SG	101	203.5	218.5	adhere	-0.550031840801239
M010049SG	101	218.5	233.5	adhere	-0.5564528107643127
M010049SG	101	233.5	248.5	adhere	-0.5581246018409729
M010049SG	101	248.5	263.5	adhere	-0.5568600296974182
M010049SG	101	263.5	278.5	adhere	-0.5568600296974182
M010049SG	101	278.5	293.5	adhere	-0.5578372478485107
M010049SG	101	293.5	308.5	adhere	-0.5537011623382568
M010049SG	101	308.5	323.5	adhere	-0.5537011623382568
M010049SG	101	323.5	338.5	adhere	-0.5572719573974609
M010049SG	102	38.5	53.5	adhere	-1.9578845500946045
M010049SG	102	53.5	68.5	adhere	-1.9578845500946045
M010049SG	102	68.5	83.5	adhere	0.5008220076560974
M010049SG	102	83.5	98.5	adhere	0.5008220076560974
M010049SG	102	98.5	113.5	adhere	-3.33587384223938
M010049SG	102	113.5	128.5	adhere	-3.33587384223938
M010049SG	102	128.5	143.5	adhere	-0.8527134656906128
M010049SG	102	143.5	158.5	adhere	-4.041691780090332
M010049SG	102	158.5	173.5	adhere	-4.041691780090332
M010049SG	102	173.5	188.5	adhere	-3.235731601715088
M010049SG	102	188.5	203.5	adhere	-3.235731601715088
M010049SG	102	203.5	218.5	adhere	0.5141850113868713
M010049SG	102	218.5	233.5	adhere	-4.854667663574219
M010049SG	102	233.5	248.5	adhere	-5.0532636642456055
M010049SG	102	248.5	263.5	adhere	-2.263779878616333
M010049SG	102	263.5	278.5	adhere	-2.263779878616333
M010049SG	102	278.5	293.5	adhere	-4.473903179168701
M010049SG	102	293.5	308.5	adhere	-2.8093819618225098
M010049SG	102	308.5	323.5	adhere	-2.8093819618225098
M010049SG	102	323.5	338.5	adhere	-3.913877010345459
M010049SG	103	38.5	53.5	adhere	-5.815581321716309
M010049SG	103	53.5	68.5	adhere	-5.815581321716309
M010049SG	103	68.5	83.5	adhere	-5.515284538269043
M010049SG	103	83.5	98.5	adhere	-5.515284538269043
M010049SG	103	98.5	113.5	adhere	-5.525080680847168
M010049SG	103	113.5	128.5	adhere	-5.525080680847168
M010049SG	103	128.5	143.5	adhere	-5.7288432121276855
M010049SG	103	143.5	158.5	adhere	-5.814090251922607
M010049SG	103	158.5	173.5	adhere	-5.814090251922607
M010049SG	103	173.5	188.5	adhere	-5.806762218475342
M010049SG	103	188.5	203.5	adhere	-5.806762218475342
M010049SG	103	203.5	218.5	adhere	-5.70778751373291
M010049SG	103	218.5	233.5	adhere	-5.729998588562012
M010049SG	103	233.5	248.5	adhere	-5.771008491516113
M010049SG	103	248.5	263.5	adhere	-5.880801677703857
M010049SG	103	263.5	278.5	adhere	-5.880801677703857
M010049SG	103	278.5	293.5	adhere	-5.789328575134277
M010049SG	103	293.5	308.5	adhere	-5.765807151794434
M010049SG	103	308.5	323.5	adhere	-5.765807151794434
M010049SG	103	323.5	338.5	adhere	-5.84229040145874
M010049SG	104	38.5	53.5	adhere	-4.667380332946777
M010049SG	104	53.5	68.5	adhere	-4.667380332946777
M010049SG	104	68.5	83.5	adhere	-2.9522409439086914
M010049SG	104	83.5	98.5	adhere	-2.9522409439086914
M010049SG	104	98.5	113.5	adhere	-4.033815383911133
M010049SG	104	113.5	128.5	adhere	-4.033815383911133
M010049SG	104	128.5	143.5	adhere	-1.9208590984344482
M010049SG	104	143.5	158.5	adhere	-4.822216510772705
M010049SG	104	158.5	173.5	adhere	-4.822216510772705
M010049SG	104	173.5	188.5	adhere	-4.446763038635254
M010049SG	104	188.5	203.5	adhere	-4.446763038635254
M010049SG	104	203.5	218.5	adhere	-2.290713310241699
M010049SG	104	218.5	233.5	adhere	-4.704524040222168
M010049SG	104	233.5	248.5	adhere	-4.981893539428711
M010049SG	104	248.5	263.5	adhere	-4.895932197570801
M010049SG	104	263.5	278.5	adhere	-4.895932197570801
M010049SG	104	278.5	293.5	adhere	-4.900966644287109
