file_id	norm	start	end	status	llr
M01005BVX	104	128.1	143.1	adhere	6.317458152770996
M01005BVX	105	128.1	143.1	adhere	6.08847713470459
M01005BVX	104	173.1	188.1	adhere	3.2277321815490723
M01005BVX	104	188.1	203.1	adhere	2.776270866394043
M01005BVX	104	203.1	218.1	adhere	1.6808233261108398
M01005BVX	105	203.1	218.1	adhere	-1.1110444068908691
M01005BVX	101	128.1	143.1	adhere	-0.5264970660209656
M01005BVX	101	173.1	188.1	adhere	-0.5305383801460266
M01005BVX	101	188.1	203.1	adhere	-0.550970733165741
M01005BVX	101	203.1	218.1	adhere	0.45488566160202026
M01005BVX	101	38.1	53.1	adhere	-0.5553423166275024
M01005BVX	101	53.1	68.1	adhere	-0.5273745059967041
M01005BVX	101	68.1	83.1	adhere	-0.5273745059967041
M01005BVX	101	83.1	98.1	adhere	-0.555759072303772
M01005BVX	101	98.1	113.1	adhere	-0.5578394532203674
M01005BVX	101	113.1	128.1	adhere	-0.5578394532203674
M01005BVX	101	143.1	158.1	adhere	-0.5264970660209656
M01005BVX	101	158.1	173.1	adhere	0.5007423162460327
M01005BVX	101	218.1	233.1	adhere	0.4987320005893707
M01005BVX	101	233.1	248.1	adhere	-0.5529773235321045
M01005BVX	101	248.1	263.1	adhere	-0.5353391766548157
M01005BVX	101	263.1	278.1	adhere	-0.5353391766548157
M01005BVX	101	278.1	293.1	adhere	-0.5126463174819946
M01005BVX	101	293.1	308.1	adhere	-0.5126463174819946
M01005BVX	101	308.1	323.1	adhere	-0.5475188493728638
M01005BVX	101	323.1	338.1	adhere	-0.5578991770744324
M01005BVX	102	128.1	143.1	adhere	2.8388278484344482
M01005BVX	102	173.1	188.1	adhere	1.0732299089431763
M01005BVX	102	188.1	203.1	adhere	-3.9864540100097656
M01005BVX	102	203.1	218.1	adhere	-3.3554821014404297
M01005BVX	102	38.1	53.1	adhere	-1.4560195207595825
M01005BVX	102	53.1	68.1	adhere	1.4691855907440186
M01005BVX	102	68.1	83.1	adhere	1.4691855907440186
M01005BVX	102	83.1	98.1	adhere	-4.555481910705566
M01005BVX	102	98.1	113.1	adhere	-4.818544864654541
M01005BVX	102	113.1	128.1	adhere	-4.818544864654541
M01005BVX	102	143.1	158.1	adhere	2.8388278484344482
M01005BVX	102	158.1	173.1	adhere	0.5386331081390381
M01005BVX	102	218.1	233.1	adhere	-1.4165819883346558
M01005BVX	102	233.1	248.1	adhere	-4.421715259552002
M01005BVX	102	248.1	263.1	adhere	-0.11714930087327957
M01005BVX	102	263.1	278.1	adhere	-0.11714930087327957
M01005BVX	102	278.1	293.1	adhere	4.766829490661621
M01005BVX	102	293.1	308.1	adhere	4.766829490661621
M01005BVX	102	308.1	323.1	adhere	-3.142334461212158
M01005BVX	102	323.1	338.1	adhere	-0.7556276321411133
M01005BVX	103	128.1	143.1	adhere	-5.078482627868652
M01005BVX	103	173.1	188.1	adhere	-5.145322322845459
M01005BVX	103	188.1	203.1	adhere	-5.654971122741699
M01005BVX	103	203.1	218.1	adhere	-5.679965972900391
M01005BVX	103	38.1	53.1	adhere	-5.570491313934326
M01005BVX	103	53.1	68.1	adhere	-4.807456016540527
M01005BVX	103	68.1	83.1	adhere	-4.807456016540527
M01005BVX	103	83.1	98.1	adhere	-5.668857097625732
M01005BVX	103	98.1	113.1	adhere	-5.817592620849609
M01005BVX	103	113.1	128.1	adhere	-5.817592620849609
M01005BVX	103	143.1	158.1	adhere	-5.078482627868652
