file_id	norm	start	end	status	llr
M01000546	101	68.13	79.21	adhere	-0.5582445859909058
M01000546	101	79.21	91.93	adhere	-0.5610959529876709
M01000546	101	91.93	103.34	adhere	-0.5572775602340698
M01000546	101	103.34	119.44	adhere	-0.5566014051437378
M01000546	101	119.5	135.2	adhere	-0.5389732122421265
M01000546	101	135.24	146.59	adhere	-0.5592419505119324
M01000546	101	146.59	159.94	adhere	-0.5570701956748962
M01000546	101	159.94	172.01	adhere	-0.5598781704902649
M01000546	101	172.01	184.67	adhere	-0.5583912134170532
M01000546	101	185.11	195.39	adhere	-0.5486224889755249
M01000546	101	195.68	206.65	adhere	-0.5531291961669922
M01000546	101	206.65	216.88	adhere	-0.5514427423477173
M01000546	101	216.88	227.14	adhere	-0.55674147605896
M01000546	101	227.14	240.28	adhere	-0.5573683381080627
M01000546	101	240.28	252.96	adhere	-0.5542672276496887
M01000546	101	252.96	266.6	adhere	-0.5506540536880493
M01000546	101	266.79	280.51	adhere	-0.5484406352043152
M01000546	101	280.51	294.11	adhere	-0.5592911243438721
M01000546	101	294.11	308.64	adhere	-0.5590212345123291
M01000546	101	308.64	320.59	adhere	-0.558704137802124
M01000546	101	320.74	334.52	adhere	-0.5566651225090027
M01000546	101	334.67	346.99	adhere	-0.5590830445289612
M01000546	101	347.22	360.15	adhere	-0.5550957322120667
M01000546	101	360.15	370.12	adhere	-0.5474004745483398
M01000546	102	68.13	79.21	adhere	-2.715707778930664
M01000546	102	79.21	91.93	adhere	-5.868780136108398
M01000546	102	91.93	103.34	adhere	-4.999973297119141
M01000546	102	103.34	119.44	adhere	-3.7056469917297363
M01000546	102	119.5	135.2	adhere	-1.9418361186981201
M01000546	102	135.24	146.59	adhere	-5.558444976806641
M01000546	102	146.59	159.94	adhere	-4.740713119506836
M01000546	102	159.94	172.01	adhere	-5.353781700134277
M01000546	102	172.01	184.67	adhere	-4.159818649291992
M01000546	102	185.11	195.39	adhere	-2.757603168487549
M01000546	102	195.68	206.65	adhere	-3.385511875152588
M01000546	102	206.65	216.88	adhere	-1.7518529891967773
M01000546	102	216.88	227.14	adhere	-4.109544277191162
M01000546	102	227.14	240.28	adhere	-3.829369306564331
M01000546	102	240.28	252.96	adhere	-1.991246223449707
M01000546	102	252.96	266.6	adhere	-2.4141364097595215
M01000546	102	266.79	280.51	adhere	-3.050401449203491
M01000546	102	280.51	294.11	adhere	-4.919919490814209
M01000546	102	294.11	308.64	adhere	-4.769801139831543
M01000546	102	308.64	320.59	adhere	-4.693180084228516
M01000546	102	320.74	334.52	adhere	-4.2832136154174805
M01000546	102	334.67	346.99	adhere	-5.284615516662598
M01000546	102	347.22	360.15	adhere	-3.828481912612915
M01000546	102	360.15	370.12	adhere	0.052065104246139526
M01000546	103	68.13	79.21	adhere	-5.47263240814209
M01000546	103	79.21	91.93	adhere	-6.016627311706543
M01000546	103	91.93	103.34	adhere	-5.19166898727417
M01000546	103	103.34	119.44	adhere	-5.766609191894531
M01000546	103	119.5	135.2	adhere	-5.557448863983154
M01000546	103	135.24	146.59	adhere	-5.9897918701171875
M01000546	103	146.59	159.94	adhere	-5.868189334869385
M01000546	103	159.94	172.01	adhere	-6.01650333404541
M01000546	103	172.01	184.67	adhere	-5.9885711669921875
M01000546	103	185.11	195.39	adhere	-5.91693115234375
M01000546	103	195.68	206.65	adhere	-5.9253034591674805
M01000546	103	206.65	216.88	adhere	-5.336972236633301
M01000546	103	216.88	227.14	adhere	-5.780849456787109
M01000546	103	227.14	240.28	adhere	-5.851532459259033
M01000546	103	240.28	252.96	adhere	-5.9290547370910645
M01000546	103	252.96	266.6	adhere	-5.871068000793457
M01000546	103	266.79	280.51	adhere	-5.548425197601318
M01000546	103	280.51	294.11	adhere	-5.991796493530273
M01000546	103	294.11	308.64	adhere	-5.980441093444824
M01000546	103	308.64	320.59	adhere	-5.936369895935059
M01000546	103	320.74	334.52	adhere	-5.788254737854004
M01000546	103	334.67	346.99	adhere	-5.8792901039123535
M01000546	103	347.22	360.15	adhere	-5.888883590698242
M01000546	103	360.15	370.12	adhere	-5.991642951965332
M01000546	104	68.13	79.21	adhere	-1.5841902494430542
M01000546	104	79.21	91.93	adhere	-5.906737327575684
M01000546	104	91.93	103.34	adhere	-3.765143394470215
M01000546	104	103.34	119.44	adhere	-4.620850086212158
M01000546	104	119.5	135.2	adhere	-3.622676372528076
M01000546	104	135.24	146.59	adhere	-5.440195083618164
M01000546	104	146.59	159.94	adhere	-5.021923065185547
M01000546	104	159.94	172.01	adhere	-5.503749847412109
M01000546	104	172.01	184.67	adhere	-5.539881706237793
M01000546	104	185.11	195.39	adhere	-4.5585198402404785
M01000546	104	195.68	206.65	adhere	-3.729884386062622
M01000546	104	206.65	216.88	adhere	-4.463181972503662
M01000546	104	216.88	227.14	adhere	-4.146220684051514
M01000546	104	227.14	240.28	adhere	-3.1761813163757324
M01000546	104	240.28	252.96	adhere	-4.453824996948242
M01000546	104	252.96	266.6	adhere	-3.2783823013305664
M01000546	104	266.79	280.51	adhere	-2.8719186782836914
M01000546	104	280.51	294.11	adhere	-5.6751604080200195
M01000546	104	294.11	308.64	adhere	-5.527193069458008
M01000546	104	308.64	320.59	adhere	-4.756563663482666
M01000546	104	320.74	334.52	adhere	-3.0977730751037598
M01000546	104	334.67	346.99	adhere	-5.459160804748535
M01000546	104	347.22	360.15	adhere	-3.760244369506836
M01000546	104	360.15	370.12	adhere	-3.7451257705688477
M01000546	105	68.13	79.21	adhere	-3.117375373840332
M01000546	105	79.21	91.93	adhere	-5.927479267120361
M01000546	105	91.93	103.34	adhere	-5.222633361816406
M01000546	105	103.34	119.44	adhere	-4.176072597503662
M01000546	105	119.5	135.2	adhere	-3.766559600830078
M01000546	105	135.24	146.59	adhere	-5.697432518005371
M01000546	105	146.59	159.94	adhere	-5.2276411056518555
M01000546	105	159.94	172.01	adhere	-5.523479461669922
M01000546	105	172.01	184.67	adhere	-4.965763092041016
M01000546	105	185.11	195.39	adhere	-4.860683917999268
M01000546	105	195.68	206.65	adhere	-4.542375564575195
M01000546	105	206.65	216.88	adhere	-4.461122989654541
M01000546	105	216.88	227.14	adhere	-4.5281829833984375
M01000546	105	227.14	240.28	adhere	-2.529572010040283
M01000546	105	240.28	252.96	adhere	-4.045872688293457
M01000546	105	252.96	266.6	adhere	-1.9510823488235474
M01000546	105	266.79	280.51	adhere	-3.3552074432373047
M01000546	105	280.51	294.11	adhere	-5.484836578369141
M01000546	105	294.11	308.64	adhere	-5.351203441619873
M01000546	105	308.64	320.59	adhere	-4.659392833709717
M01000546	105	320.74	334.52	adhere	-4.222620010375977
