file_id	norm	start	end	status	llr
M0100056D	103	0.0	6.1	adhere	2.6652660369873047
M0100056D	105	42.895	52.72	adhere	-2.2777438163757324
M0100056D	106	174.54	188.81	adhere	-5.263081073760986
M0100056D	104	189.06	204.2	adhere	-4.477595329284668
M0100056D	105	230.92	244.21	adhere	-3.094177484512329
M0100056D	102	259.64	265.56	adhere	6.178367614746094
M0100056D	101	0.0	6.1	adhere	-0.5354089736938477
M0100056D	101	42.895	52.72	adhere	-0.5592997670173645
M0100056D	101	174.54	188.81	adhere	-0.5528696179389954
M0100056D	101	189.06	204.2	adhere	-0.5594200491905212
M0100056D	101	230.92	244.21	adhere	-0.5588674545288086
M0100056D	101	259.64	265.56	adhere	-0.5328662395477295
M0100056D	101	6.68	20.22	adhere	-0.5549474954605103
M0100056D	101	20.22	31.27	adhere	-0.558872640132904
M0100056D	101	31.27	42.895	adhere	-0.5597999095916748
M0100056D	101	52.72	65.66	adhere	-0.559213399887085
M0100056D	101	65.66	78.04	adhere	-0.5588082075119019
M0100056D	101	78.04	89.16	adhere	-0.5597054958343506
M0100056D	101	89.16	99.39	adhere	-0.5592986345291138
M0100056D	101	99.39	112.02	adhere	-0.5588022470474243
M0100056D	101	112.06	124.51	adhere	-0.5602267980575562
M0100056D	101	124.51	134.38	adhere	-0.5464169979095459
M0100056D	101	134.82	148.22	adhere	-0.5565704703330994
M0100056D	101	148.73	163.66	adhere	-0.5596544742584229
M0100056D	101	163.7	174.54	adhere	-0.5556508302688599
M0100056D	101	204.28	216.66	adhere	-0.5580435395240784
M0100056D	101	216.66	230.89	adhere	-0.5510662794113159
M0100056D	101	244.21	259.21	adhere	-0.559414267539978
M0100056D	101	265.56	279.04	adhere	-0.5551044940948486
M0100056D	101	279.84	294.45	adhere	-0.5596718788146973
M0100056D	101	294.45	298.79	adhere	-0.5605484247207642
M0100056D	102	0.0	6.1	adhere	-2.932471990585327
M0100056D	102	42.895	52.72	adhere	-4.074082851409912
M0100056D	102	174.54	188.81	adhere	-3.2434537410736084
M0100056D	102	189.06	204.2	adhere	-3.478485345840454
M0100056D	102	230.92	244.21	adhere	-3.878897190093994
M0100056D	102	6.68	20.22	adhere	-3.6285853385925293
M0100056D	102	20.22	31.27	adhere	-5.418838024139404
M0100056D	102	31.27	42.895	adhere	-5.51534366607666
M0100056D	102	52.72	65.66	adhere	-4.973041534423828
M0100056D	102	65.66	78.04	adhere	-4.744472980499268
M0100056D	102	78.04	89.16	adhere	-5.7259416580200195
M0100056D	102	89.16	99.39	adhere	-5.36046028137207
M0100056D	102	99.39	112.02	adhere	-5.405521869659424
M0100056D	102	112.06	124.51	adhere	-5.958879470825195
M0100056D	102	124.51	134.38	adhere	-3.5979976654052734
M0100056D	102	134.82	148.22	adhere	-5.472088813781738
