file_id	norm	start	end	status	llr
M01001POX	101	460.0	510.0	adhere	-0.5620503425598145
M01001POX	101	11.0	190.0	adhere	-0.5595593452453613
M01001POX	101	194.0	205.0	adhere	-0.56089186668396
M01001POX	101	209.0	236.0	adhere	-0.5615276098251343
M01001POX	101	240.0	253.0	adhere	-0.5611757636070251
M01001POX	101	257.0	299.0	adhere	-0.5612456798553467
M01001POX	101	301.0	332.0	adhere	-0.5618912577629089
M01001POX	101	334.0	354.0	adhere	-0.5607689023017883
M01001POX	101	356.0	372.0	adhere	-0.5613908767700195
M01001POX	101	374.0	401.0	adhere	-0.5615966320037842
M01001POX	101	405.0	433.0	adhere	-0.5605975389480591
M01001POX	101	437.0	448.0	adhere	-0.5607662200927734
M01001POX	101	450.0	455.0	adhere	-0.5610283017158508
M01001POX	101	514.0	565.0	adhere	-0.5606448650360107
M01001POX	101	567.0	571.0	adhere	-0.561061441898346
M01001POX	101	573.0	597.0	adhere	-0.5596159100532532
M01001POX	101	601.0	719.0	adhere	-0.5597914457321167
M01001POX	101	723.0	769.0	adhere	-0.5608333349227905
M01001POX	101	773.0	781.0	adhere	-0.5609908103942871
M01001POX	101	785.0	795.0	adhere	-0.5610137581825256
M01001POX	102	460.0	510.0	adhere	-6.234193325042725
M01001POX	102	11.0	190.0	adhere	-5.027188301086426
M01001POX	102	194.0	205.0	adhere	-6.009076118469238
M01001POX	102	209.0	236.0	adhere	-6.139198303222656
M01001POX	102	240.0	253.0	adhere	-6.079120635986328
M01001POX	102	257.0	299.0	adhere	-6.081116676330566
M01001POX	102	301.0	332.0	adhere	-6.189762592315674
M01001POX	102	334.0	354.0	adhere	-5.982269287109375
M01001POX	102	356.0	372.0	adhere	-6.174715518951416
M01001POX	102	374.0	401.0	adhere	-6.190034866333008
M01001POX	102	405.0	433.0	adhere	-5.8463134765625
M01001POX	102	437.0	448.0	adhere	-5.777600288391113
M01001POX	102	450.0	455.0	adhere	-6.065827369689941
M01001POX	102	514.0	565.0	adhere	-5.826298713684082
M01001POX	102	567.0	571.0	adhere	-5.458991527557373
M01001POX	102	573.0	597.0	adhere	-3.8540546894073486
M01001POX	102	601.0	719.0	adhere	-5.418044090270996
M01001POX	102	723.0	769.0	adhere	-5.995962142944336
M01001POX	102	773.0	781.0	adhere	-5.875507354736328
M01001POX	102	785.0	795.0	adhere	-6.01444149017334
M01001POX	103	460.0	510.0	adhere	-6.179327964782715
M01001POX	103	11.0	190.0	adhere	-5.911395072937012
M01001POX	103	194.0	205.0	adhere	-6.026472091674805
M01001POX	103	209.0	236.0	adhere	-6.094483375549316
M01001POX	103	240.0	253.0	adhere	-6.094510078430176
M01001POX	103	257.0	299.0	adhere	-6.082754135131836
M01001POX	103	301.0	332.0	adhere	-6.167248725891113
M01001POX	103	334.0	354.0	adhere	-6.01568078994751
M01001POX	103	356.0	372.0	adhere	-6.109357833862305
M01001POX	103	374.0	401.0	adhere	-6.117976188659668
M01001POX	103	405.0	433.0	adhere	-5.9976396560668945
M01001POX	103	437.0	448.0	adhere	-6.065825462341309
M01001POX	103	450.0	455.0	adhere	-6.019703388214111
M01001POX	103	514.0	565.0	adhere	-6.001262664794922
M01001POX	103	567.0	571.0	adhere	-6.031887054443359
M01001POX	103	573.0	597.0	adhere	-6.012701511383057
M01001POX	103	601.0	719.0	adhere	-6.014766693115234
M01001POX	103	723.0	769.0	adhere	-6.044217109680176
M01001POX	103	773.0	781.0	adhere	-6.0424041748046875
M01001POX	103	785.0	795.0	adhere	-6.042458534240723
M01001POX	104	460.0	510.0	adhere	-6.2255072593688965
M01001POX	104	11.0	190.0	adhere	-5.650104999542236
M01001POX	104	194.0	205.0	adhere	-6.097463607788086
M01001POX	104	209.0	236.0	adhere	-6.169014930725098
M01001POX	104	240.0	253.0	adhere	-6.099699974060059
M01001POX	104	257.0	299.0	adhere	-6.129511833190918
M01001POX	104	301.0	332.0	adhere	-6.181095123291016
M01001POX	104	334.0	354.0	adhere	-6.046343803405762
M01001POX	104	356.0	372.0	adhere	-6.174694538116455
M01001POX	104	374.0	401.0	adhere	-6.1899590492248535
M01001POX	104	405.0	433.0	adhere	-5.83249568939209
M01001POX	104	437.0	448.0	adhere	-6.053336143493652
M01001POX	104	450.0	455.0	adhere	-6.124310493469238
M01001POX	104	514.0	565.0	adhere	-5.739717960357666
M01001POX	104	567.0	571.0	adhere	-5.872421741485596
M01001POX	104	573.0	597.0	adhere	-5.20905876159668
M01001POX	104	601.0	719.0	adhere	-5.548254013061523
M01001POX	104	723.0	769.0	adhere	-6.024558067321777
M01001POX	104	773.0	781.0	adhere	-6.042824745178223
M01001POX	104	785.0	795.0	adhere	-5.965951919555664
M01001POX	105	460.0	510.0	adhere	-6.231101036071777
M01001POX	105	11.0	190.0	adhere	-5.117072105407715
M01001POX	105	194.0	205.0	adhere	-6.102725982666016
M01001POX	105	209.0	236.0	adhere	-6.17901611328125
M01001POX	105	240.0	253.0	adhere	-6.15781831741333
M01001POX	105	257.0	299.0	adhere	-6.138190269470215
M01001POX	105	301.0	332.0	adhere	-6.18983268737793
M01001POX	105	334.0	354.0	adhere	-6.059792995452881
M01001POX	105	356.0	372.0	adhere	-6.172199249267578
M01001POX	105	374.0	401.0	adhere	-6.169801235198975
M01001POX	105	405.0	433.0	adhere	-5.918590068817139
M01001POX	105	437.0	448.0	adhere	-5.775698661804199
M01001POX	105	450.0	455.0	adhere	-6.1513776779174805
M01001POX	105	514.0	565.0	adhere	-5.8377604484558105
M01001POX	105	567.0	571.0	adhere	-6.054843902587891
M01001POX	105	573.0	597.0	adhere	-4.397580146789551
M01001POX	105	601.0	719.0	adhere	-4.38972282409668
M01001POX	105	723.0	769.0	adhere	-6.067996501922607
M01001POX	105	773.0	781.0	adhere	-6.0627617835998535
M01001POX	105	785.0	795.0	adhere	-6.025683403015137
M01001POX	106	460.0	510.0	adhere	-6.223912239074707
M01001POX	106	11.0	190.0	adhere	-5.94495964050293
M01001POX	106	194.0	205.0	adhere	-6.139126300811768
M01001POX	106	209.0	236.0	adhere	-6.170121669769287
