file_id	norm	start	end	status	llr
M010027JU	101	73.0	74.0	adhere	-0.5606136918067932
M010027JU	101	93.0	94.0	adhere	-0.5605342984199524
M010027JU	101	113.0	114.0	adhere	-0.5606999397277832
M010027JU	101	32.0	46.0	adhere	-0.5607684254646301
M010027JU	101	48.0	58.0	adhere	-0.5594607591629028
M010027JU	101	60.0	71.0	adhere	-0.5609998106956482
M010027JU	101	76.0	91.0	adhere	-0.5613125562667847
M010027JU	101	96.0	111.0	adhere	-0.5533390641212463
M010027JU	101	116.0	131.0	adhere	-0.5610461831092834
M010027JU	101	133.0	140.0	adhere	-0.5601807832717896
M010027JU	101	143.0	149.0	adhere	-0.5585814714431763
M010027JU	101	153.0	167.0	adhere	-0.5602626800537109
M010027JU	101	171.0	184.0	adhere	-0.5598094463348389
M010027JU	101	186.0	206.0	adhere	-0.5617159605026245
M010027JU	101	208.0	226.0	adhere	-0.5607855319976807
M010027JU	101	230.0	330.0	adhere	-0.5598679780960083
M010027JU	101	332.0	444.0	adhere	-0.5615172386169434
M010027JU	101	446.0	458.0	adhere	-0.5611149072647095
M010027JU	101	460.0	570.0	adhere	-0.5604320764541626
M010027JU	101	574.0	595.0	adhere	-0.5605208873748779
M010027JU	101	597.0	630.0	adhere	-0.5615391135215759
M010027JU	101	633.0	660.0	adhere	-0.5604361891746521
M010027JU	101	662.0	727.0	adhere	-0.5608611106872559
M010027JU	101	729.0	762.0	adhere	-0.5612913370132446
M010027JU	102	73.0	74.0	adhere	-6.04404354095459
M010027JU	102	93.0	94.0	adhere	-5.967948913574219
M010027JU	102	113.0	114.0	adhere	-5.999996185302734
M010027JU	102	32.0	46.0	adhere	-5.816020965576172
M010027JU	102	48.0	58.0	adhere	-5.437966346740723
M010027JU	102	60.0	71.0	adhere	-5.866630554199219
M010027JU	102	76.0	91.0	adhere	-6.127486228942871
M010027JU	102	96.0	111.0	adhere	-3.2428760528564453
M010027JU	102	116.0	131.0	adhere	-4.830345153808594
M010027JU	102	133.0	140.0	adhere	-5.079418659210205
M010027JU	102	143.0	149.0	adhere	-5.819432258605957
M010027JU	102	153.0	167.0	adhere	-5.891854763031006
M010027JU	102	171.0	184.0	adhere	-5.986217975616455
M010027JU	102	186.0	206.0	adhere	-6.129619121551514
M010027JU	102	208.0	226.0	adhere	-5.631193161010742
M010027JU	102	230.0	330.0	adhere	-5.169376373291016
M010027JU	102	332.0	444.0	adhere	-6.170725345611572
M010027JU	102	446.0	458.0	adhere	-5.949604034423828
M010027JU	102	460.0	570.0	adhere	-5.564934730529785
M010027JU	102	574.0	595.0	adhere	-5.552606582641602
M010027JU	102	597.0	630.0	adhere	-6.164472579956055
M010027JU	102	633.0	660.0	adhere	-5.202583312988281
M010027JU	102	662.0	727.0	adhere	-5.883530616760254
M010027JU	102	729.0	762.0	adhere	-6.130465030670166
M010027JU	103	73.0	74.0	adhere	-5.95445442199707
M010027JU	103	93.0	94.0	adhere	-5.969686508178711
M010027JU	103	113.0	114.0	adhere	-5.957823753356934
M010027JU	103	32.0	46.0	adhere	-6.057934284210205
M010027JU	103	48.0	58.0	adhere	-5.416647434234619
M010027JU	103	60.0	71.0	adhere	-6.050683975219727
M010027JU	103	76.0	91.0	adhere	-6.049407005310059
M010027JU	103	96.0	111.0	adhere	-4.456589698791504
M010027JU	103	116.0	131.0	adhere	-6.037126541137695
M010027JU	103	133.0	140.0	adhere	-5.905908584594727
M010027JU	103	143.0	149.0	adhere	-5.352022171020508
M010027JU	103	153.0	167.0	adhere	-5.984323501586914
M010027JU	103	171.0	184.0	adhere	-5.692974090576172
M010027JU	103	186.0	206.0	adhere	-6.141369342803955
M010027JU	103	208.0	226.0	adhere	-6.083921909332275
M010027JU	103	230.0	330.0	adhere	-5.976090908050537
M010027JU	103	332.0	444.0	adhere	-6.12474250793457
M010027JU	103	446.0	458.0	adhere	-6.069882392883301
M010027JU	103	460.0	570.0	adhere	-6.027649879455566
M010027JU	103	574.0	595.0	adhere	-6.042709827423096
M010027JU	103	597.0	630.0	adhere	-6.112186431884766
M010027JU	103	633.0	660.0	adhere	-5.981620788574219
M010027JU	103	662.0	727.0	adhere	-6.07403039932251
M010027JU	103	729.0	762.0	adhere	-6.117830276489258
M010027JU	104	73.0	74.0	adhere	-6.155390739440918
M010027JU	104	93.0	94.0	adhere	-6.140707015991211
M010027JU	104	113.0	114.0	adhere	-6.142993927001953
M010027JU	104	32.0	46.0	adhere	-6.04459285736084
M010027JU	104	48.0	58.0	adhere	-5.278264999389648
M010027JU	104	60.0	71.0	adhere	-6.105226039886475
M010027JU	104	76.0	91.0	adhere	-6.144330024719238
M010027JU	104	96.0	111.0	adhere	-1.685771107673645
M010027JU	104	116.0	131.0	adhere	-6.072347640991211
M010027JU	104	133.0	140.0	adhere	-5.270513534545898
M010027JU	104	143.0	149.0	adhere	-3.3116440773010254
M010027JU	104	153.0	167.0	adhere	-6.00814962387085
M010027JU	104	171.0	184.0	adhere	-5.997156143188477
M010027JU	104	186.0	206.0	adhere	-6.18726921081543
M010027JU	104	208.0	226.0	adhere	-5.624398231506348
M010027JU	104	230.0	330.0	adhere	-5.117425441741943
M010027JU	104	332.0	444.0	adhere	-6.178659915924072
