file_id	norm	start	end	status	llr
M010031LC	101	110.0	149.0	adhere	-0.5621827840805054
M010031LC	101	151.0	160.0	adhere	-0.5604435205459595
M010031LC	101	295.0	343.0	adhere	-0.5621301531791687
M010031LC	101	345.0	349.0	adhere	-0.5560311079025269
M010031LC	101	392.0	431.0	adhere	-0.5623828172683716
M010031LC	101	434.0	454.0	adhere	-0.561256468296051
M010031LC	101	628.0	680.0	adhere	-0.5621658563613892
M010031LC	101	682.0	706.0	adhere	-0.5608936548233032
M010031LC	101	24.0	35.0	adhere	-0.5612296462059021
M010031LC	101	37.0	41.0	adhere	-0.5613818168640137
M010031LC	101	43.0	58.0	adhere	-0.5609196424484253
M010031LC	101	62.0	66.0	adhere	-0.5593188405036926
M010031LC	101	68.0	75.0	adhere	-0.5611491203308105
M010031LC	101	79.0	94.0	adhere	-0.5608104467391968
M010031LC	101	96.0	105.0	adhere	-0.5604435205459595
M010031LC	101	164.0	184.0	adhere	-0.5611696243286133
M010031LC	101	186.0	201.0	adhere	-0.561002790927887
M010031LC	101	205.0	229.0	adhere	-0.5611889362335205
M010031LC	101	231.0	235.0	adhere	-0.5560311079025269
M010031LC	101	239.0	249.0	adhere	-0.5605129599571228
M010031LC	101	253.0	267.0	adhere	-0.5613289475440979
M010031LC	101	270.0	290.0	adhere	-0.561256468296051
M010031LC	101	353.0	387.0	adhere	-0.5602531433105469
M010031LC	101	458.0	469.0	adhere	-0.5615404844284058
M010031LC	101	471.0	481.0	adhere	-0.5611655712127686
M010031LC	101	483.0	490.0	adhere	-0.5611183643341064
M010031LC	101	492.0	499.0	adhere	-0.5610799193382263
M010031LC	101	503.0	530.0	adhere	-0.5611335635185242
M010031LC	101	532.0	559.0	adhere	-0.5612183809280396
M010031LC	101	561.0	575.0	adhere	-0.5608549118041992
M010031LC	101	577.0	588.0	adhere	-0.5610592365264893
M010031LC	101	590.0	608.0	adhere	-0.5618957877159119
M010031LC	101	610.0	623.0	adhere	-0.5604548454284668
M010031LC	101	710.0	720.0	adhere	-0.5606176853179932
M010031LC	101	722.0	732.0	adhere	-0.5614790320396423
M010031LC	101	734.0	773.0	adhere	-0.5604344606399536
M010031LC	102	110.0	149.0	adhere	-6.158554553985596
M010031LC	102	151.0	160.0	adhere	-5.580864906311035
M010031LC	102	295.0	343.0	adhere	-6.129146575927734
M010031LC	102	345.0	349.0	adhere	-1.8278006315231323
M010031LC	102	392.0	431.0	adhere	-6.139125823974609
M010031LC	102	434.0	454.0	adhere	-6.117382049560547
M010031LC	102	628.0	680.0	adhere	-6.17288064956665
M010031LC	102	682.0	706.0	adhere	-5.891462326049805
M010031LC	102	24.0	35.0	adhere	-5.974152565002441
M010031LC	102	37.0	41.0	adhere	-6.064332485198975
M010031LC	102	43.0	58.0	adhere	-3.3973591327667236
M010031LC	102	62.0	66.0	adhere	-4.850821018218994
M010031LC	102	68.0	75.0	adhere	-5.843869209289551
M010031LC	102	79.0	94.0	adhere	-5.863863945007324
M010031LC	102	96.0	105.0	adhere	-5.580864906311035
M010031LC	102	164.0	184.0	adhere	-5.996720314025879
M010031LC	102	186.0	201.0	adhere	-5.870826721191406
M010031LC	102	205.0	229.0	adhere	-5.816298484802246
M010031LC	102	231.0	235.0	adhere	-1.8278006315231323
M010031LC	102	239.0	249.0	adhere	-5.652398109436035
M010031LC	102	253.0	267.0	adhere	-6.1734089851379395
M010031LC	102	270.0	290.0	adhere	-6.117382049560547
M010031LC	102	353.0	387.0	adhere	-5.540013313293457
M010031LC	102	458.0	469.0	adhere	-6.131511211395264
M010031LC	102	471.0	481.0	adhere	-6.146509647369385
M010031LC	102	483.0	490.0	adhere	-6.102909088134766
M010031LC	102	492.0	499.0	adhere	-5.790788173675537
M010031LC	102	503.0	530.0	adhere	-6.107301712036133
M010031LC	102	532.0	559.0	adhere	-6.107165336608887
M010031LC	102	561.0	575.0	adhere	-6.043300628662109
M010031LC	102	577.0	588.0	adhere	-6.052486896514893
M010031LC	102	590.0	608.0	adhere	-6.194990158081055
M010031LC	102	610.0	623.0	adhere	-5.465120315551758
M010031LC	102	710.0	720.0	adhere	-1.5667083263397217
M010031LC	102	722.0	732.0	adhere	-6.1290082931518555
M010031LC	102	734.0	773.0	adhere	-5.7595109939575195
M010031LC	103	110.0	149.0	adhere	-6.226418972015381
M010031LC	103	151.0	160.0	adhere	-6.026217460632324
M010031LC	103	295.0	343.0	adhere	-6.215519428253174
M010031LC	103	345.0	349.0	adhere	-5.881685256958008
M010031LC	103	392.0	431.0	adhere	-6.238001346588135
M010031LC	103	434.0	454.0	adhere	-6.053265571594238
M010031LC	103	628.0	680.0	adhere	-6.207773208618164
M010031LC	103	682.0	706.0	adhere	-6.029502868652344
M010031LC	103	24.0	35.0	adhere	-6.098746299743652
M010031LC	103	37.0	41.0	adhere	-6.120700359344482
M010031LC	103	43.0	58.0	adhere	-6.0599822998046875
M010031LC	103	62.0	66.0	adhere	-5.853952407836914
M010031LC	103	68.0	75.0	adhere	-6.053121566772461
M010031LC	103	79.0	94.0	adhere	-6.015373229980469
M010031LC	103	96.0	105.0	adhere	-6.026217460632324
M010031LC	103	164.0	184.0	adhere	-6.051390171051025
M010031LC	103	186.0	201.0	adhere	-5.957402229309082
M010031LC	103	205.0	229.0	adhere	-6.087956428527832
M010031LC	103	231.0	235.0	adhere	-5.881685256958008
M010031LC	103	239.0	249.0	adhere	-6.037768840789795
M010031LC	103	253.0	267.0	adhere	-6.1019062995910645
M010031LC	103	270.0	290.0	adhere	-6.053265571594238
M010031LC	103	353.0	387.0	adhere	-5.940558433532715
M010031LC	103	458.0	469.0	adhere	-6.133352279663086
M010031LC	103	471.0	481.0	adhere	-6.03249454498291
M010031LC	103	483.0	490.0	adhere	-6.07411003112793
M010031LC	103	492.0	499.0	adhere	-6.079124450683594
M010031LC	103	503.0	530.0	adhere	-6.060577869415283
M010031LC	103	532.0	559.0	adhere	-6.0712785720825195
M010031LC	103	561.0	575.0	adhere	-6.0101847648620605
M010031LC	103	577.0	588.0	adhere	-6.075671672821045
M010031LC	103	590.0	608.0	adhere	-6.155641078948975
M010031LC	103	610.0	623.0	adhere	-6.011521816253662
M010031LC	103	710.0	720.0	adhere	-6.040633201599121
M010031LC	103	722.0	732.0	adhere	-6.148454666137695
M010031LC	103	734.0	773.0	adhere	-6.062346935272217
M010031LC	104	110.0	149.0	adhere	-6.158944606781006
M010031LC	104	151.0	160.0	adhere	-5.924037933349609
