file_id	norm	start	end	status	llr
M010049MG	101	227.7	242.7	adhere	-0.5491528511047363
M010049MG	101	242.7	257.7	adhere	-0.5491528511047363
M010049MG	101	257.7	272.7	adhere	-0.5590615272521973
M010049MG	101	272.7	287.7	adhere	-0.5439789295196533
M010049MG	101	287.7	302.7	adhere	-0.5439789295196533
M010049MG	101	302.7	317.7	adhere	-0.5580129623413086
M010049MG	101	317.7	332.7	adhere	-0.5579952001571655
M010049MG	101	332.7	347.7	adhere	-0.5584969520568848
M010049MG	101	347.7	362.7	adhere	-0.5513546466827393
M010049MG	101	362.7	377.7	adhere	-0.5577387809753418
M010049MG	101	377.7	392.7	adhere	-0.5577387809753418
M010049MG	101	392.7	407.7	adhere	-0.5590775609016418
M010049MG	101	407.7	422.7	adhere	-0.5588334798812866
M010049MG	101	422.7	437.7	adhere	-0.5594632625579834
M010049MG	101	437.7	452.7	adhere	-0.5530990958213806
M010049MG	101	452.7	467.7	adhere	-0.5530990958213806
M010049MG	101	467.7	482.7	adhere	-0.5593357086181641
M010049MG	101	482.7	497.7	adhere	-0.556683361530304
M010049MG	101	497.7	512.7	adhere	-0.5592010617256165
M010049MG	101	512.7	527.7	adhere	-0.5592010617256165
M010049MG	102	227.7	242.7	adhere	-1.5390300750732422
M010049MG	102	242.7	257.7	adhere	-1.5390300750732422
M010049MG	102	257.7	272.7	adhere	-5.642186164855957
M010049MG	102	272.7	287.7	adhere	-0.9832883477210999
M010049MG	102	287.7	302.7	adhere	-0.9832883477210999
M010049MG	102	302.7	317.7	adhere	-4.964141845703125
M010049MG	102	317.7	332.7	adhere	-4.385082244873047
M010049MG	102	332.7	347.7	adhere	-4.865678310394287
M010049MG	102	347.7	362.7	adhere	1.3442972898483276
M010049MG	102	362.7	377.7	adhere	-3.1000590324401855
M010049MG	102	377.7	392.7	adhere	-3.1000590324401855
M010049MG	102	392.7	407.7	adhere	-5.480841636657715
M010049MG	102	407.7	422.7	adhere	-4.918337821960449
M010049MG	102	422.7	437.7	adhere	-5.316201686859131
M010049MG	102	437.7	452.7	adhere	-1.1048977375030518
M010049MG	102	452.7	467.7	adhere	-1.1048977375030518
M010049MG	102	467.7	482.7	adhere	-5.413907051086426
M010049MG	102	482.7	497.7	adhere	-3.7718346118927
M010049MG	102	497.7	512.7	adhere	-4.304211616516113
M010049MG	102	512.7	527.7	adhere	-4.304211616516113
M010049MG	103	227.7	242.7	adhere	-5.368732929229736
M010049MG	103	242.7	257.7	adhere	-5.368732929229736
M010049MG	103	257.7	272.7	adhere	-5.9277024269104
M010049MG	103	272.7	287.7	adhere	-4.381103992462158
M010049MG	103	287.7	302.7	adhere	-4.381103992462158
M010049MG	103	302.7	317.7	adhere	-5.829066276550293
M010049MG	103	317.7	332.7	adhere	-5.7557878494262695
M010049MG	103	332.7	347.7	adhere	-5.856310844421387
M010049MG	103	347.7	362.7	adhere	-5.673669815063477
M010049MG	103	362.7	377.7	adhere	-5.91594123840332
M010049MG	103	377.7	392.7	adhere	-5.91594123840332
M010049MG	103	392.7	407.7	adhere	-5.5641703605651855
M010049MG	103	407.7	422.7	adhere	-5.7798848152160645
M010049MG	103	422.7	437.7	adhere	-5.848699569702148
M010049MG	103	437.7	452.7	adhere	-5.34055757522583
M010049MG	103	452.7	467.7	adhere	-5.34055757522583
M010049MG	103	467.7	482.7	adhere	-5.863185882568359
M010049MG	103	482.7	497.7	adhere	-5.678556442260742
M010049MG	103	497.7	512.7	adhere	-5.926360130310059
M010049MG	103	512.7	527.7	adhere	-5.926360130310059
M010049MG	104	227.7	242.7	adhere	-2.6299080848693848
M010049MG	104	242.7	257.7	adhere	-2.6299080848693848
M010049MG	104	257.7	272.7	adhere	-5.816573619842529
M010049MG	104	272.7	287.7	adhere	0.8134124279022217
M010049MG	104	287.7	302.7	adhere	0.8134124279022217
M010049MG	104	302.7	317.7	adhere	-4.805102348327637
M010049MG	104	317.7	332.7	adhere	-4.643975257873535
M010049MG	104	332.7	347.7	adhere	-4.997712135314941
M010049MG	104	347.7	362.7	adhere	-0.1177099198102951
M010049MG	104	362.7	377.7	adhere	-4.56264591217041
M010049MG	104	377.7	392.7	adhere	-4.56264591217041
M010049MG	104	392.7	407.7	adhere	-5.428488731384277
M010049MG	104	407.7	422.7	adhere	-2.8428735733032227
M010049MG	104	422.7	437.7	adhere	-3.813690423965454
M010049MG	104	437.7	452.7	adhere	-0.8034313321113586
M010049MG	104	452.7	467.7	adhere	-0.8034313321113586
M010049MG	104	467.7	482.7	adhere	-5.3416852951049805
M010049MG	104	482.7	497.7	adhere	-4.001485824584961
M010049MG	104	497.7	512.7	adhere	-5.294251441955566
M010049MG	104	512.7	527.7	adhere	-5.294251441955566
M010049MG	105	227.7	242.7	adhere	-1.4824514389038086
M010049MG	105	242.7	257.7	adhere	-1.4824514389038086
M010049MG	105	257.7	272.7	adhere	-5.805730819702148
