file_id	norm	start	end	status	llr
M01004BIU	104	391.4	406.4	adhere	-4.990679740905762
M01004BIU	101	391.4	406.4	adhere	-0.5587608814239502
M01004BIU	101	106.4	121.4	adhere	-0.5530675649642944
M01004BIU	101	121.4	136.4	adhere	-0.5530675649642944
M01004BIU	101	136.4	151.4	adhere	-0.5558251142501831
M01004BIU	101	151.4	166.4	adhere	-0.5572289824485779
M01004BIU	101	166.4	181.4	adhere	-0.5572289824485779
M01004BIU	101	181.4	196.4	adhere	-0.5566431879997253
M01004BIU	101	196.4	211.4	adhere	-0.5566431879997253
M01004BIU	101	211.4	226.4	adhere	-0.5578425526618958
M01004BIU	101	226.4	241.4	adhere	-0.5571162700653076
M01004BIU	101	241.4	256.4	adhere	-0.5571162700653076
M01004BIU	101	256.4	271.4	adhere	-0.5544778108596802
M01004BIU	101	271.4	286.4	adhere	-0.5544778108596802
M01004BIU	101	286.4	301.4	adhere	-0.5601296424865723
M01004BIU	101	301.4	316.4	adhere	-0.5584103465080261
M01004BIU	101	316.4	331.4	adhere	-0.5584103465080261
M01004BIU	101	331.4	346.4	adhere	-0.5579800605773926
M01004BIU	101	346.4	361.4	adhere	-0.5579800605773926
M01004BIU	101	361.4	376.4	adhere	-0.5579630136489868
M01004BIU	101	376.4	391.4	adhere	-0.5587608814239502
M01004BIU	102	391.4	406.4	adhere	-4.472878932952881
M01004BIU	102	106.4	121.4	adhere	-2.9447317123413086
M01004BIU	102	121.4	136.4	adhere	-2.9447317123413086
M01004BIU	102	136.4	151.4	adhere	-2.1403965950012207
M01004BIU	102	151.4	166.4	adhere	-2.7217369079589844
M01004BIU	102	166.4	181.4	adhere	-2.7217369079589844
M01004BIU	102	181.4	196.4	adhere	-3.1530795097351074
M01004BIU	102	196.4	211.4	adhere	-3.1530795097351074
M01004BIU	102	211.4	226.4	adhere	-4.904407501220703
M01004BIU	102	226.4	241.4	adhere	-4.991524696350098
M01004BIU	102	241.4	256.4	adhere	-4.991524696350098
M01004BIU	102	256.4	271.4	adhere	-1.2629444599151611
M01004BIU	102	271.4	286.4	adhere	-1.2629444599151611
M01004BIU	102	286.4	301.4	adhere	-5.849122047424316
M01004BIU	102	301.4	316.4	adhere	-5.017399787902832
M01004BIU	102	316.4	331.4	adhere	-5.017399787902832
M01004BIU	102	331.4	346.4	adhere	-3.8906679153442383
M01004BIU	102	346.4	361.4	adhere	-3.8906679153442383
M01004BIU	102	361.4	376.4	adhere	-4.197592258453369
M01004BIU	102	376.4	391.4	adhere	-4.472878932952881
M01004BIU	103	391.4	406.4	adhere	-5.919501781463623
M01004BIU	103	106.4	121.4	adhere	-5.541496276855469
M01004BIU	103	121.4	136.4	adhere	-5.541496276855469
M01004BIU	103	136.4	151.4	adhere	-5.759418487548828
M01004BIU	103	151.4	166.4	adhere	-5.817294120788574
M01004BIU	103	166.4	181.4	adhere	-5.817294120788574
M01004BIU	103	181.4	196.4	adhere	-5.8231353759765625
M01004BIU	103	196.4	211.4	adhere	-5.8231353759765625
M01004BIU	103	211.4	226.4	adhere	-5.822641849517822
M01004BIU	103	226.4	241.4	adhere	-5.787510871887207
M01004BIU	103	241.4	256.4	adhere	-5.787510871887207
M01004BIU	103	256.4	271.4	adhere	-5.617822647094727
M01004BIU	103	271.4	286.4	adhere	-5.617822647094727
M01004BIU	103	286.4	301.4	adhere	-6.060937881469727
M01004BIU	103	301.4	316.4	adhere	-5.843469619750977
M01004BIU	103	316.4	331.4	adhere	-5.843469619750977
M01004BIU	103	331.4	346.4	adhere	-5.858100891113281
M01004BIU	103	346.4	361.4	adhere	-5.858100891113281
M01004BIU	103	361.4	376.4	adhere	-5.911345481872559
M01004BIU	103	376.4	391.4	adhere	-5.919501781463623
M01004BIU	104	106.4	121.4	adhere	-4.155272960662842
M01004BIU	104	121.4	136.4	adhere	-4.155272960662842
M01004BIU	104	136.4	151.4	adhere	-2.483569622039795
M01004BIU	104	151.4	166.4	adhere	-3.9700589179992676
M01004BIU	104	166.4	181.4	adhere	-3.9700589179992676
M01004BIU	104	181.4	196.4	adhere	-4.521547317504883
M01004BIU	104	196.4	211.4	adhere	-4.521547317504883
M01004BIU	104	211.4	226.4	adhere	-5.336855888366699
M01004BIU	104	226.4	241.4	adhere	-4.657385349273682
M01004BIU	104	241.4	256.4	adhere	-4.657385349273682
M01004BIU	104	256.4	271.4	adhere	-2.3557231426239014
M01004BIU	104	271.4	286.4	adhere	-2.3557231426239014
M01004BIU	104	286.4	301.4	adhere	-5.9053239822387695
M01004BIU	104	301.4	316.4	adhere	-5.29238224029541
M01004BIU	104	316.4	331.4	adhere	-5.29238224029541
M01004BIU	104	331.4	346.4	adhere	-4.037418365478516
M01004BIU	104	346.4	361.4	adhere	-4.037418365478516
M01004BIU	104	361.4	376.4	adhere	-3.920407772064209
M01004BIU	104	376.4	391.4	adhere	-4.990679740905762
M01004BIU	105	391.4	406.4	adhere	-3.3732666969299316
M01004BIU	105	106.4	121.4	adhere	-3.2153820991516113
M01004BIU	105	121.4	136.4	adhere	-3.2153820991516113
M01004BIU	105	136.4	151.4	adhere	-1.3779011964797974
M01004BIU	105	151.4	166.4	adhere	-0.33361783623695374
M01004BIU	105	166.4	181.4	adhere	-0.33361783623695374
M01004BIU	105	181.4	196.4	adhere	-2.9424309730529785
M01004BIU	105	196.4	211.4	adhere	-2.9424309730529785
M01004BIU	105	211.4	226.4	adhere	-4.885251998901367
M01004BIU	105	226.4	241.4	adhere	-4.576412200927734
M01004BIU	105	241.4	256.4	adhere	-4.576412200927734
M01004BIU	105	256.4	271.4	adhere	-2.0490267276763916
M01004BIU	105	271.4	286.4	adhere	-2.0490267276763916
M01004BIU	105	286.4	301.4	adhere	-5.821760177612305
M01004BIU	105	301.4	316.4	adhere	-4.342005729675293
M01004BIU	105	316.4	331.4	adhere	-4.342005729675293
M01004BIU	105	331.4	346.4	adhere	1.6204197406768799
M01004BIU	105	346.4	361.4	adhere	1.6204197406768799
M01004BIU	105	361.4	376.4	adhere	6.189044952392578
M01004BIU	105	376.4	391.4	adhere	-3.3732666969299316
M01004BIU	106	391.4	406.4	adhere	-5.843605041503906
M01004BIU	106	106.4	121.4	adhere	-5.280705451965332
M01004BIU	106	121.4	136.4	adhere	-5.280705451965332
M01004BIU	106	136.4	151.4	adhere	-5.467001914978027
M01004BIU	106	151.4	166.4	adhere	-5.757723331451416
M01004BIU	106	166.4	181.4	adhere	-5.757723331451416
M01004BIU	106	181.4	196.4	adhere	-5.770359039306641
M01004BIU	106	196.4	211.4	adhere	-5.770359039306641
M01004BIU	106	211.4	226.4	adhere	-5.703674793243408
M01004BIU	106	226.4	241.4	adhere	-5.616039276123047
M01004BIU	106	241.4	256.4	adhere	-5.616039276123047
M01004BIU	106	256.4	271.4	adhere	-5.180752277374268
M01004BIU	106	271.4	286.4	adhere	-5.180752277374268
